LRCA1101.MV,LRCA1101.PV,PDR1401.PV,PIC1101A.PV,TI_1145.PV
72.507,33.03,12.301,14.9049,488.96
72.5614,33.035,12.301,14.9049,488.99
72.6164,33.04,12.301,14.9049,488.99
72.672,33.045,12.301,14.9049,489.02
72.7282,33.05,12.301,14.9049,489.02
72.7851,33.055,12.301,14.9049,489.05
72.8426,33.06,12.301,14.9049,489.05
72.8501,33.06,12.301,14.9049,489.08
72.9082,33.065,12.301,14.9049,489.08
72.9163,33.065,12.302,14.9049,489.11
72.9751,33.07,12.302,14.9049,489.11
72.9838,33.07,12.302,14.9049,489.14
72.9926,33.07,12.303,14.9049,489.14
73.0014,33.07,12.303,14.9049,489.17
73.0607,33.075,12.303,14.9049,489.17
73.0701,33.075,12.304,14.9136,489.2
73.0795,33.075,12.305,14.9138,489.2
73.0889,33.075,12.305,14.9141,489.23
73.0982,33.075,12.308,14.9144,489.23
73.1076,33.075,12.308,14.9147,489.26
73.1676,33.08,12.308,14.9149,489.26
73.1776,33.08,12.309,14.9152,489.29
73.2382,33.085,12.309,14.9155,489.29
73.2995,33.09,12.31,14.9158,489.32
73.3108,33.09,12.311,14.9161,489.32
73.3726,33.095,12.311,14.9163,489.35
73.4351,33.1,12.312,14.9252,489.35
73.4982,33.105,12.312,14.9258,489.38
73.562,33.11,12.312,14.9263,489.41
73.5757,33.11,12.314,14.9183,489.41
73.6401,33.115,12.314,14.9185,489.44
73.7051,33.12,12.314,14.9188,489.47
73.7201,33.12,12.313,14.9191,489.5
73.7857,33.125,12.313,14.9194,489.5
73.8014,33.125,12.313,14.9283,489.53
73.8676,33.13,12.314,14.9288,489.56
73.9345,33.135,12.314,14.9294,489.59
73.9513,33.135,12.316,14.9213,489.59
74.0189,33.14,12.316,14.9216,489.62
74.0364,33.14,12.316,14.9219,489.65
74.1045,33.145,12.316,14.9308,489.68
74.1226,33.145,12.316,14.9313,489.71
74.1408,33.145,12.316,14.9319,489.71
74.2095,33.15,12.319,14.9324,489.74
74.2282,33.15,12.319,14.933,489.77
74.2976,33.155,12.319,14.9335,489.8
74.317,33.155,12.319,14.9341,489.83
74.3364,33.155,12.32,14.9347,489.83
74.4064,33.16,12.32,14.9352,489.86
74.4264,33.16,12.32,14.9358,489.89
74.497,33.165,12.321,14.9363,489.92
74.5176,33.165,12.322,14.9369,489.95
74.5383,33.165,12.322,14.9374,489.98
74.6095,33.17,12.323,14.938,490.01
74.6307,33.17,12.323,14.9385,490.01
74.7026,33.175,12.323,14.9391,490.04
74.7751,33.18,12.323,14.9396,490.07
74.7976,33.18,12.324,14.9402,490.1
74.8707,33.185,12.324,14.9408,490.13
74.8938,33.185,12.324,14.9413,490.16
74.9676,33.19,12.326,14.9419,490.19
74.9914,33.19,12.326,14.9424,490.22
75.0657,33.195,12.326,14.943,490.25
75.0901,33.195,12.326,14.9435,490.28
75.1651,33.2,12.327,14.9441,490.31
75.1901,33.2,12.327,14.9446,490.34
75.2657,33.205,12.327,14.9452,490.37
75.2914,33.205,12.328,14.9544,490.4
75.3676,33.21,12.328,14.9552,490.43
75.3939,33.21,12.329,14.956,490.46
75.4201,33.21,12.33,14.9483,490.49
75.497,33.215,12.331,14.9488,490.55
75.5239,33.215,12.331,14.9494,490.58
75.5508,33.215,12.33,14.9499,490.61
75.6282,33.22,12.33,14.9505,490.64
75.6557,33.22,12.33,14.9596,490.67
75.6832,33.22,12.331,14.9605,490.7
75.7107,33.22,12.332,14.9613,490.73
75.7889,33.225,12.333,14.9621,490.76
75.817,33.225,12.335,14.9544,490.79
75.8451,33.225,12.335,14.9549,490.82
75.8732,33.225,12.335,14.9555,490.85
75.952,33.23,12.333,14.9646,490.88
75.9807,33.23,12.334,14.9655,490.91
76.0095,33.23,12.335,14.9663,490.97
76.0382,33.23,12.336,14.9671,491.0
76.1176,33.235,12.337,14.968,491.03
76.147,33.235,12.337,14.9688,491.06
76.1764,33.235,12.338,14.961,491.09
76.2563,33.24,12.338,14.9616,491.12
76.2863,33.24,12.338,14.9708,491.15
76.3163,33.24,12.337,14.9716,491.21
76.397,33.245,12.337,14.9724,491.24
76.4276,33.245,12.34,14.9733,491.27
76.4582,33.245,12.34,14.9741,491.3
76.5395,33.25,12.34,14.9663,491.33
76.5707,33.25,12.34,14.9669,491.36
76.602,33.25,12.34,14.9674,491.42
76.6332,33.25,12.339,14.9766,491.45
76.6645,33.25,12.34,14.9774,491.48
76.6957,33.25,12.34,14.9783,491.51
76.727,33.25,12.342,14.9791,491.54
76.7582,33.25,12.342,14.9799,491.57
76.7895,33.25,12.342,14.9808,491.6
76.8207,33.25,12.343,14.9816,491.66
76.852,33.25,12.343,14.9824,491.69
76.8832,33.25,12.344,14.9746,491.72
76.9145,33.25,12.344,14.9752,491.75
76.9457,33.25,12.344,14.9757,491.78
77.0276,33.255,12.342,14.9849,491.81
77.0594,33.255,12.344,14.9858,491.87
77.0913,33.255,12.344,14.9866,491.9
77.1232,33.255,12.345,14.9874,491.93
77.1551,33.255,12.346,14.9883,491.96
77.2376,33.26,12.346,14.9891,492.02
77.2701,33.26,12.346,14.9813,492.05
77.3026,33.26,12.346,14.9819,492.08
77.3857,33.265,12.346,14.9824,492.11
77.4189,33.265,12.345,14.9916,492.17
77.452,33.265,12.346,14.9924,492.2
77.4851,33.265,12.346,14.9933,492.23
77.5689,33.27,12.348,14.9855,492.29
77.6026,33.27,12.348,14.986,492.32
77.6701,33.27,12.348,14.9871,492.35
77.7039,33.27,12.347,14.9877,492.41
77.7039,33.27,12.347,14.9877,492.44
77.7376,33.27,12.347,14.9882,492.47
77.7714,33.27,12.348,14.9974,492.53
77.8557,33.275,12.348,14.9983,492.56
77.8395,33.27,12.348,14.9991,492.59
77.8733,33.27,12.35,14.9913,492.65
77.907,33.27,12.35,14.9919,492.68
77.9408,33.27,12.35,14.9924,492.71
77.9745,33.27,12.349,14.993,492.74
78.0083,33.27,12.35,15.0021,492.8
78.042,33.27,12.35,15.003,492.83
78.0758,33.27,12.35,15.0038,492.86
78.1095,33.27,12.352,15.0046,492.92
78.1433,33.27,12.353,14.9969,492.95
78.177,33.27,12.353,14.9974,492.98
78.2108,33.27,12.353,14.998,493.01
78.2445,33.27,12.352,15.0071,493.07
78.2783,33.27,12.352,15.008,493.1
78.312,33.27,12.352,15.0088,493.13
78.3458,33.27,12.354,15.0096,493.19
78.3796,33.27,12.354,15.0019,493.22
78.4133,33.27,12.354,15.0024,493.28
78.4471,33.27,12.354,15.003,493.31
78.5314,33.275,12.353,15.0035,493.34
78.5658,33.275,12.353,15.0041,493.4
78.6508,33.28,12.353,15.0046,493.46
78.7714,33.285,12.353,15.0057,493.49
78.7714,33.285,12.353,15.0057,493.55
78.8577,33.29,12.353,15.0063,493.58
78.8939,33.29,12.354,15.0069,493.64
78.9808,33.295,12.354,15.0074,493.7
79.1058,33.3,12.354,15.0085,493.73
79.1058,33.3,12.354,15.0085,493.79
79.1939,33.305,12.354,15.0091,493.85
79.3208,33.31,12.354,15.0102,493.88
79.3595,33.31,12.354,15.0107,493.94
79.3983,33.31,12.354,15.0113,494.0
79.437,33.31,12.354,15.0118,494.03
79.437,33.31,12.354,15.0118,494.03
79.5145,33.31,12.354,15.013,494.03
79.5533,33.31,12.354,15.0135,494.03
79.592,33.31,12.356,15.0141,494.09
79.6308,33.31,12.356,15.0146,494.12
79.6189,33.305,12.356,15.0152,494.18
79.6571,33.305,12.356,15.0157,494.21
79.6445,33.3,12.357,15.0163,494.3
79.6445,33.3,12.357,15.0163,494.3
79.6683,33.295,12.358,15.0174,494.36
79.6545,33.29,12.358,15.018,494.39
79.6908,33.29,12.359,15.0185,494.42
79.6764,33.285,12.359,15.0191,494.48
79.712,33.285,12.36,15.0282,494.57
79.712,33.285,12.36,15.0282,494.57
79.8339,33.29,12.36,15.0299,494.6
79.8702,33.29,12.36,15.0221,494.66
79.9064,33.29,12.362,15.0227,494.69
79.9932,33.295,12.362,15.0232,494.75
80.0301,33.295,12.362,15.0238,494.81
80.1176,33.3,12.361,15.0243,494.84
80.2058,33.305,12.361,15.0249,494.9
80.2439,33.305,12.361,15.0254,494.96
80.3326,33.31,12.361,15.026,495.05
80.3714,33.31,12.361,15.0266,495.05
80.4101,33.31,12.361,15.0271,495.11
80.4489,33.31,12.362,15.0191,495.17
80.5382,33.315,12.361,15.0193,495.23
80.527,33.31,12.361,15.0196,495.26
80.5657,33.31,12.361,15.0285,495.32
80.6045,33.31,12.359,15.0291,495.35
80.5926,33.305,12.36,15.0296,495.41
80.6308,33.305,12.36,15.0302,495.44
80.6182,33.3,12.363,15.0307,495.5
80.6557,33.3,12.363,15.0313,495.53
80.6426,33.295,12.363,15.0318,495.59
80.6289,33.29,12.365,15.0324,495.62
