AR1410B.PV,DR1103.PV,DR1105.PV,DR1106.PV,DR1107.PV,DR1108.PV,DR1110.PV,FI1113.PV,FI1424.PV,FI1902.PV,FIC_1121.PV,FIC_1122.MV,FIC_1122.PV,FIC_1127.MV,FIC_1127.PV,FI_1127.PV,FRC1102.MV,FRC1107.MV,FRC1113.MV,FRC1113.PV,FRC1424.PV,FRCA1110.MV,FRCA1112.MV,FRQ1623.PV,FRSA1101.PV,FT_1121.PV,FT_1122.PV,LRCA1101.MV,LRCA1101.PV,PDI_1109.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1132B.PV,PI_1134.PV,PI_1138A.PV,PI_1180.PV,PI_1182.PV,PR1102A.PV,PRA1102.PV,TI1105A.PV,TI1132.PV,TI1133.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1101.SV,TIC_1155.MV,TI_1142.PV,TI_1145.PV,TRC1118A.MV
86.575,57.5625,4.2328,57.5625,287.055,357.8212,571.2,2.6004,4.57,174.3525,342.99,72.5847,710.24,19.459,600.12,600.18,9.9926,66.2309,76.7843,2.6004,4.57,11.1159,15.7189,9.1113,174.356,342.99,710.24,73.9502,33.165,44.76,9.633,4.388,12.345,44.706,24.5765,15.2032,0.1813,0.1291,0.1317,0.1291,0.2102,0.1317,0.1988,0.1247,542.8,273.65,355.7,84.54,85.125,85.2375,82.3875,83.505,81.9225,44.7003,522.9,520.0,20.7555,515.84,487.34,12.9225
86.525,57.6,4.7781,57.5625,287.0325,358.2345,571.15,2.6,4.5725,174.2985,342.99,72.5843,710.24,19.4578,600.18,600.0,9.9922,66.2305,76.7853,2.6,4.5725,11.1157,15.7189,9.1113,174.286,342.99,710.24,73.9708,33.165,44.82,9.631,4.391,12.344,44.76,24.615,15.2052,0.1813,0.1291,0.1317,0.129,0.2101,0.1317,0.1988,0.1247,542.84,273.65,355.7,84.585,85.125,85.2,82.3725,83.475,81.915,44.6848,522.93,520.0,20.7554,515.84,487.37,12.9219
86.925,57.5625,3.8703,57.6,287.19,358.1656,570.7,2.6,4.5725,174.2985,342.99,72.5839,710.24,19.4593,600.0,600.06,9.9919,66.2302,76.7853,2.6,4.5725,11.1155,15.7189,9.1113,174.3,342.99,710.24,73.9914,33.165,44.874,9.629,4.395,12.342,44.82,24.6645,15.1988,0.1813,0.129,0.1317,0.129,0.2101,0.1316,0.1988,0.1246,542.92,273.65,355.7,84.5775,85.1625,85.26,82.4175,83.505,81.8775,44.6654,522.99,520.0,20.7553,515.87,487.37,12.9212
86.275,57.525,4.4875,57.5625,287.055,357.8557,571.45,2.6006,4.5725,174.2445,342.99,72.5848,710.08,19.4585,600.06,600.06,9.9916,66.2299,76.7831,2.6006,4.5725,11.1154,15.7189,9.1118,174.23,342.99,710.08,74.0121,33.165,44.928,9.627,4.396,12.343,44.874,24.7085,15.201,0.1813,0.129,0.1316,0.129,0.21,0.1316,0.1987,0.1246,542.96,273.65,355.7,84.5475,85.2,85.2225,82.395,83.5125,81.915,44.6459,523.05,520.0,20.7553,515.9,487.4,12.9205
86.275,57.525,4.4875,57.5625,287.055,357.8557,571.45,2.6006,4.5725,174.2445,342.99,72.5847,710.08,19.4583,600.06,600.06,9.9912,66.2295,76.7823,2.6006,4.5725,11.1152,15.7189,9.1118,174.23,342.99,710.08,74.0327,33.165,44.928,9.627,4.396,12.343,44.928,24.7085,15.1949,0.1813,0.129,0.1316,0.129,0.21,0.1316,0.1987,0.1246,542.96,273.65,355.7,84.5475,85.2,85.2225,82.395,83.5125,81.915,44.6298,523.08,520.0,20.7552,515.9,487.4,12.9199
86.05,57.6,4.7094,57.5625,286.7175,357.7179,570.95,2.6008,4.575,174.2175,343.02,72.5839,710.16,19.458,600.06,600.06,9.9909,66.2292,76.7808,2.6008,4.575,11.115,15.7189,9.1118,174.216,343.02,710.16,74.0533,33.165,45.024,9.624,4.401,12.343,44.982,24.78,15.1888,0.1813,0.129,0.1316,0.1289,0.2099,0.1316,0.1986,0.1246,543.08,273.65,355.7,84.5775,85.1925,85.185,82.35,83.52,82.005,44.6098,523.14,520.0,20.7551,515.96,487.46,12.9192
86.15,57.6,4.2078,57.525,286.6275,357.7523,570.55,2.6002,4.575,174.1905,343.02,72.5837,710.16,19.4578,600.06,600.12,9.9906,66.2288,76.7821,2.6002,4.575,11.1148,15.7189,9.1108,174.188,343.02,710.16,74.0739,33.165,45.072,9.622,4.403,12.345,45.024,24.813,15.1913,0.1813,0.1289,0.1316,0.1289,0.2098,0.1315,0.1986,0.1245,543.12,273.65,355.7,84.5475,85.2225,85.1925,82.2975,83.55,81.9525,44.5896,523.2,520.0,20.755,515.99,487.49,12.9185
86.15,57.6,4.2078,57.525,286.6275,357.7523,570.55,2.6002,4.575,174.1905,343.02,72.5834,710.16,19.4568,600.12,600.12,9.9902,66.2285,76.7818,2.6002,4.575,11.1147,15.7189,9.1108,174.188,343.02,710.16,74.0946,33.165,45.072,9.622,4.403,12.345,45.072,24.813,15.1855,0.1813,0.1289,0.1316,0.1289,0.2098,0.1315,0.1986,0.1245,543.12,273.65,355.7,84.5475,85.2225,85.1925,82.2975,83.55,81.9525,44.5729,523.23,520.0,20.755,515.99,487.49,12.9179
86.125,57.6,4.3531,57.525,287.145,357.7179,571.45,2.6002,4.575,174.1905,343.02,72.5832,710.16,19.4563,600.12,600.12,9.9899,66.2282,76.7816,2.6002,4.575,11.1145,15.7189,9.1108,174.188,343.02,710.16,74.1152,33.165,45.12,9.62,4.406,12.342,45.072,24.8515,15.1796,0.1813,0.1289,0.1315,0.1289,0.2098,0.1315,0.1985,0.1245,543.16,273.65,355.7,84.5775,85.1775,85.1625,82.26,83.5275,81.945,44.5599,523.23,520.0,20.7549,516.02,487.52,12.9172
86.85,57.525,3.9797,57.5625,287.1,357.7868,571.15,2.6004,4.5775,174.15,343.02,72.5829,710.16,19.4558,600.12,600.12,9.9896,66.2278,76.7806,2.6004,4.5775,11.1168,15.7189,9.1113,174.146,343.02,710.16,74.1358,33.165,45.156,9.618,4.408,12.343,45.12,24.89,15.1824,0.1813,0.1289,0.1315,0.1288,0.2098,0.1315,0.1985,0.1245,543.2,273.65,355.7,84.5325,85.2,85.125,82.2375,83.55,81.96,44.5393,523.29,520.0,20.7548,516.05,487.52,12.9165
