DR1107.PV,WR1104.PV,FRCA1111.PV,CCSFIC1401.PV,TIC_1155.PV,AR1410B.PV,TIC_1155.MV,FRCA1112.MV,LRCA1101.PV,FI1113.PV
287.1675,145.695,5000.04,186263,590.07,86.5,20.455,15.7319,33.0,2.5996
286.8525,145.695,5000.04,186263,590.07,86.825,20.454,15.7319,33.0,2.6002
286.5375,145.695,5000.04,186263,590.07,86.125,20.4531,15.7319,33.0,2.6002
286.6275,145.695,5000.04,186263,590.07,86.875,20.4521,15.7319,33.0,2.6002
286.875,145.695,5000.04,186263,590.07,86.675,20.4511,15.7319,33.0,2.6002
287.505,145.695,5000.04,186263,590.07,86.925,20.4501,15.7319,33.0,2.5996
287.3025,145.695,5000.04,186263,590.07,86.1,20.4491,15.7319,33.0,2.5996
287.1225,145.695,5000.04,186263,590.07,86.2,20.4481,15.7319,33.0,2.6002
286.7625,145.695,5000.04,186263,590.07,86.075,20.4471,15.7319,33.0,2.6002
286.74,145.695,5000.04,186263,590.07,86.775,20.4462,15.7319,33.0,2.6002
287.0325,145.695,5000.04,186263,590.07,86.2,20.4452,15.7319,33.0,2.6002
287.3475,145.695,5000.04,186263,590.07,86.675,20.4442,15.7319,33.0,2.5996
286.695,145.695,5000.04,186263,590.07,86.225,20.4432,15.7319,33.0,2.5996
286.9425,145.695,5000.04,186263,590.07,86.375,20.4422,15.7319,33.0,2.6002
286.875,145.695,5000.04,186263,590.07,86.575,20.4412,15.7319,33.0,2.6002
286.56,145.695,5000.04,186263,590.07,86.1,20.4403,15.7319,33.0,2.6002
287.19,145.695,5000.04,186263,590.07,86.575,20.4393,15.7319,33.0,2.5996
287.01,145.695,5000.04,186263,590.07,86.65,20.4383,15.7319,33.0,2.5996
286.9875,145.695,5000.04,186263,590.07,86.575,20.4373,15.7319,33.0,2.5996
286.56,145.695,5000.04,186263,590.07,86.925,20.4363,15.7319,33.0,2.6002
287.01,145.695,5000.04,186263,590.07,86.4,20.4353,15.7319,33.0,2.6002
286.92,145.695,5000.04,186263,590.07,86.975,20.4344,15.7319,33.0,2.6002
286.74,145.695,5000.04,186263,590.07,86.375,20.4334,15.7319,33.0,2.6002
287.46,145.695,5000.04,186263,590.07,86.725,20.4324,15.7319,33.0,2.6002
286.5825,145.695,5000.04,186263,590.07,86.1,20.4314,15.7319,33.0,2.6002
286.83,145.695,5000.04,186263,590.07,86.45,20.4304,15.7319,33.0,2.6002
287.4375,145.695,5000.04,186263,590.07,86.05,20.4294,15.7319,33.0,2.5998
287.19,145.695,5000.04,186263,590.07,86.625,20.4284,15.7319,33.0,2.5998
286.9875,145.695,5000.04,186263,590.07,86.2,20.4275,15.7319,33.0,2.6002
286.5825,145.695,5000.04,186263,590.07,86.75,20.4265,15.7319,33.0,2.6002
287.19,145.695,5000.04,186263,590.07,86.4,20.4255,15.7319,33.0,2.6002
286.74,145.695,5000.04,186263,590.07,86.45,20.4245,15.7319,33.0,2.5998
287.37,145.695,5000.04,186263,590.07,86.35,20.4235,15.7319,33.0,2.5998
286.5825,145.695,5000.04,186263,590.07,86.75,20.4225,15.7319,33.0,2.5998
287.325,145.695,5000.04,186263,590.07,86.9,20.4216,15.7319,33.0,2.6002
286.785,145.695,5000.04,186263,590.07,86.9,20.4206,15.7319,33.0,2.6002
286.5375,145.695,5000.04,186263,590.07,86.925,20.4196,15.7319,33.0,2.5996
287.145,145.695,5000.04,186263,590.1025,86.525,20.4034,15.7319,33.0,2.5996
286.7175,145.695,5000.04,186263,590.1025,86.95,20.4019,15.7319,33.0,2.6002
286.7175,145.695,5000.04,186263,590.1025,86.3,20.4004,15.7319,33.0,2.6002
286.83,145.695,5000.04,186263,590.1025,86.725,20.3989,15.7327,33.0,2.6002
287.4375,145.695,5000.04,186263,590.1025,86.475,20.3974,15.7329,33.0,2.5996
287.37,145.695,5000.04,186263,590.1025,86.125,20.396,15.7324,33.0,2.5996
287.505,145.695,5000.04,186263,590.1025,86.725,20.3945,15.7324,33.0,2.5996
287.505,145.695,5000.04,186263,590.1025,86.825,20.393,15.7324,33.0,2.6002
286.875,145.695,5000.04,186263,590.1025,86.125,20.3915,15.7324,33.0,2.6002
287.1225,145.695,5000.04,186263,590.1025,86.875,20.3901,15.7324,33.0,2.6002
287.2125,145.695,5000.04,186263,590.1025,86.1,20.3886,15.7324,33.0,2.6002
287.325,145.695,5000.04,186263,590.1025,86.45,20.3871,15.7324,33.0,2.6002
286.7625,145.695,5000.04,186263,590.1025,86.15,20.3856,15.7324,33.0,2.6002
286.695,145.695,5000.04,186263,590.1025,86.075,20.3842,15.7324,33.0,2.5998
287.0775,145.695,5000.04,186263,590.1025,86.225,20.3827,15.7324,33.0,2.5998
287.0325,145.695,5000.04,186263,590.1025,86.525,20.3812,15.7324,33.0,2.6002
286.6725,145.695,5000.04,186263,590.1025,86.475,20.3797,15.7324,33.0,2.6002
287.145,145.695,5000.04,186263,590.1025,86.3,20.3783,15.7324,33.0,2.6002
286.875,145.695,5000.04,186263,590.1025,86.15,20.3768,15.7324,33.0,2.5996
286.7175,145.695,5000.04,186263,590.1025,86.125,20.3753,15.7324,33.0,2.5998
286.5825,145.695,4999.1797,186263,590.1025,86.625,20.3738,15.7324,33.0,2.6002
286.83,145.695,4999.1797,186263,590.1025,86.475,20.3724,15.7324,33.0,2.6002
286.9425,145.695,4999.1797,186263,590.1025,86.05,20.3709,15.7324,33.0,2.6002
287.145,145.695,5000.04,186263,590.1025,86.725,20.3694,15.7324,33.0,2.5998
