DR1106.PV,TI_1145.PV,TI1105A.PV,FRSA1101.PV,FRC1102.MV,FI1102.PV,FRC1102.PV,PDR1106.PV,TIC_1101.MV,FIC_1122.MV,FIC_1127.PV,TIA2872.PV,PI_1180.PV,WR1104.PV,FRC1424.PV,TIA2876.PV,FV1111.OUT,FIC_1122.PV,PDR1401.PV,PR1102A.PV,FRC1113.PV,PRCA1101B.MV,LRCA1101.PV,LRCA1101.MV,DR1108.PV,FRCA1111.MV,FIC_1127.MV,FV1112.OUT,DR1105.PV,FRC1113.MV,FT_1122.PV,FRCA1112.MV,FRQ1623.PV,DR1107.PV,FI_1127.PV,PDRSA1104.PV,FI1112.PV,PIC1101A.PV,FV1110.OUT,FI1113.PV,AR1410B.PV,PDRCA1109.PV,TIC_1101.PV,TIA2877.PV,TIC_1155.MV,TIA2875.PV,PDR1103.PV,PI_1138B.PV,DR1103.PV,FRC1107.MV,PI_1132A.PV,FRCA1112.PV,TIA2874.PV,TIA2873.PV,WRA1103.PV,FRCA1110.MV,TI_1144.PV,DR1110.PV
57.6,489.38,537.16,174.09,10.2572,999.6,999.6,3.983,86.4098,72.9937,599.94,84.5325,0.2445,145.662,2.9475,83.55,28.1209,709.76,12.322,0.2332,2.5996,14.9152,33.05,65.8642,357.8212,28.1209,19.8866,15.7338,4.3016,77.5396,709.76,15.7338,9.1091,287.3925,599.94,-15.436,2999.75,14.9144,11.1281,2.5996,86.25,10.908,517.38,81.9225,21.7034,82.275,9.557,0.1655,57.5625,66.8714,0.2169,2999.75,85.32,85.11,148.635,11.1281,517.94,571.05
57.6,489.35,537.08,174.09,10.2574,999.6,999.6,3.982,86.4279,72.9941,600,84.5475,0.2445,145.662,2.945,83.5425,28.1209,709.76,12.319,0.2332,2.5994,14.9161,33.045,65.8198,358.1656,28.1209,19.8861,15.7341,4.2016,77.5409,709.76,15.7341,9.1091,287.2575,600,-15.4525,2999.75,14.9152,11.1282,2.5994,86,10.908,517.32,81.975,21.7033,82.275,9.558,0.1656,57.5625,66.8716,0.2169,2999.75,85.29,85.11,148.635,11.1282,517.94,571.35
57.6,489.35,537,174.118,10.2576,999.6,999.6,3.981,86.45,72.9945,600,84.5175,0.2445,145.662,2.945,83.5725,28.1209,709.76,12.319,0.2332,2.5994,14.9083,33.04,65.7748,358.1312,28.1209,19.8861,15.7343,4.1859,77.5416,709.76,15.7343,9.1086,287.1225,600,-15.469,2999.75,14.9161,11.1283,2.5994,86.85,10.908,517.23,82.0125,21.7032,82.2975,9.559,0.1656,57.6375,66.8717,0.2169,2999.75,85.2975,85.095,148.635,11.1283,517.94,571.9
57.525,489.35,536.92,174.118,10.2577,999.6,999.6,3.98,86.4687,72.9948,600,84.48,0.2445,145.673,2.945,83.535,28.1208,709.76,12.318,0.2332,2.5994,14.9088,33.035,65.7292,357.9245,28.1208,19.8861,15.7338,4.5234,77.5424,709.76,15.7338,9.1086,286.7175,600,-15.4855,3000,14.9083,11.1283,2.5994,86.45,10.89,517.17,82.0575,21.7032,82.3275,9.56,0.1656,57.525,66.8719,0.2169,3000,85.3125,85.095,148.6462,11.1283,517.91,571.95
57.5625,489.32,536.88,174.118,10.2579,999.6,999.6,3.981,86.4876,72.9952,600,84.54,0.2445,145.673,2.9425,83.5425,28.1208,709.76,12.319,0.2332,2.6,14.9094,33.03,65.683,358.0967,28.1208,19.8861,15.7338,3.8641,77.5409,709.76,15.7338,9.1091,287.37,600,-15.5075,3000,14.9088,11.1284,2.6,86.8,10.884,517.11,82.0575,21.7031,82.3575,9.561,0.1656,57.5625,66.8721,0.2169,3000,85.32,85.1325,148.6462,11.1284,517.91,571.25
57.6,489.32,536.8,174.118,10.2581,999.6,999.6,3.983,86.5068,72.9956,600,84.585,0.2445,145.673,2.9425,83.5275,28.1208,709.76,12.318,0.2332,2.6,14.9099,33.025,65.6361,357.7179,28.1208,19.8861,15.7338,4.3359,77.5409,709.76,15.7338,9.1091,287.28,600,-15.5295,3000,14.9094,11.1285,2.6,86.425,10.878,517.05,82.005,21.703,82.395,9.562,0.1656,57.5625,66.873,0.2169,3000,85.335,85.17,148.6462,11.1285,517.88,571.1
57.6,489.29,536.72,174.132,10.2582,999.6,999.6,3.983,86.5225,72.9959,600,84.555,0.2444,145.684,2.9425,83.5125,28.1208,709.76,12.315,0.2332,2.5998,14.9105,33.02,65.5886,358.6133,28.1208,19.8861,15.7338,3.9266,77.5416,709.76,15.7338,9.1091,286.8075,600,-15.5405,3000,14.9099,11.1286,2.5998,86.775,10.878,517.02,81.9975,21.7029,82.4175,9.562,0.1656,57.5625,66.8734,0.2169,3000,85.32,85.1625,148.6575,11.1286,517.88,571.55
57.6,489.29,536.68,174.132,10.2584,999.6,999.6,3.982,86.5421,72.9957,600,84.5175,0.2445,145.684,2.9425,83.55,28.1208,709.84,12.315,0.2332,2.5998,14.9024,33.015,65.5405,358.4067,28.1208,19.8861,15.7338,4.6609,77.5419,709.84,15.7338,9.1091,287.505,600,-15.5515,3000,14.9105,11.1286,2.5998,86.05,10.872,516.96,81.975,21.7029,82.365,9.563,0.1656,57.525,66.8738,0.2169,3000,85.2975,85.1775,148.6575,11.1286,517.88,571.5
57.5625,489.29,536.64,174.132,10.2586,999.6,999.6,3.982,86.5581,72.9959,600,84.4875,0.2445,145.684,2.9425,83.5425,28.1208,709.84,12.314,0.2332,2.5998,14.9027,33.01,65.4917,358.5444,28.1208,19.8861,15.7338,4.0219,77.5421,709.84,15.7338,9.1091,287.1,600,-15.568,3000,14.9024,11.1287,2.5998,86.2,10.86,516.93,81.9975,21.7028,82.3275,9.564,0.1656,57.6375,66.8742,0.217,3000,85.275,85.1325,148.6575,11.1287,517.85,571.5
57.6,489.26,536.6,174.132,10.2587,999.6,999.6,3.983,86.578,72.9962,600,84.5325,0.2444,145.695,2.94,83.55,28.1208,709.84,12.314,0.2332,2.5998,14.903,33.01,65.493,358.3378,28.1208,19.8861,15.7338,4.3,77.5424,709.84,15.7338,9.1091,286.6275,600,-15.5845,3000,14.9027,11.1288,2.5998,86.25,10.86,516.87,81.9825,21.7027,82.335,9.564,0.1656,57.6,66.8747,0.217,3000,85.2675,85.1475,148.6687,11.1288,517.85,571.5
