AR1410B.PV,CCSFIC1401.PV,CCSPI1407B.PV,CCSPIC1415.PV,CCSPRC1415.PV,DR1103.PV,DR1105.PV,DR1106.PV,DR1107.PV,FI1102.PV,FI1104.PV,FI1107.PV,FI1110.PV,FI1111.PV,FI1112.PV,FI1113.PV,FI1121.PV,FI1213.PV,FI1424.PV,FIC_1121.PV,FIC_1122.MV,FIC_1122.PV,FIC_1123.PV,FIC_1127.MV,FIC_1127.PV,FI_1124.PV,FI_1127.PV,FRC1102.MV,FRC1102.PV,FRC1104.MV,FRC1107.MV,FRC1107.PV,FRC1113.MV,FRC1113.PV,FRC1213.MV,FRC1213.PV,FRC1424.PV,FRCA1110.MV,FRCA1110.PV,FRCA1111.MV,FRCA1111.PV,FRCA1112.MV,FRCA1112.PV,FRQ1623.PV,FT_1121.PV,FT_1122.PV,FT_1123.PV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRSA1104.PV,PI1101.PV,PI1110.PV,PIC1101A.PV,PI_1132A.PV,PI_1132B.PV,PI_1134.PV,PI_1136.PV,PI_1138A.PV,PI_1138B.PV,PI_1180.PV,PI_1182.PV,PR1102A.PV,PR1102B.PV,PR1401.PV,PRA1102.PV,PRCA1101B.MV,PRCA1101B.PV,TI1105A.PV,TI1111.PV,TI1118A.PV,TI1132.PV,TI1212.PV,TI1611.PV,TIA1114.PV,TIA1160A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TIC_1155.PV,TI_1145.PV,TI_1146.PV,TI_1147.PV,TRA1401A.PV,TRC1118A.MV,TRC1118A.PV,WR1104.PV,WRA1103.PV
86.75,186263,0.3,0.3795,0.3795,57.6,4.3953,57.5625,286.695,1000.2,999.45,2.6003,4999.8501,5000.04,3000,2.6,50700,180,4.5975,343.2,72.5654,710.08,1773.1799,19.4358,599.94,94.4,599.94,9.9746,1000.2,10.9512,66.2099,2.6003,76.7695,2.6,75.5955,180,4.5975,11.1275,4999.8501,28.1206,5000.04,15.7319,3000,9.1108,343.2,710.08,1773.1799,32.995,9.556,4.131,12.302,26.232,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.16,487.125,680.05,283.6,267.32,252.55,661.9,184.015,84.5925,85.17,85.2675,82.35,83.325,82.065,42.3037,520.35,20.5136,590.0375,489.11,686.12,686.1125,661.9,14.6164,680.05,145.695,148.6687
86.675,186263,0.3,0.3795,0.3795,57.6,4.2484,57.6,286.74,1000.2,999.45,2.5995,4999.8501,5000.04,3000,2.6002,50700,180,4.5975,343.2,72.5653,710.08,1773.1799,19.4346,600.06,94.4,600.06,9.9746,1000.2,10.9512,66.2105,2.5995,76.7687,2.6002,75.5955,180,4.5975,11.1276,4999.8501,28.1206,5000.04,15.7319,3000,9.1102,343.2,710.08,1773.1799,32.995,9.556,4.132,12.302,26.2375,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.16,487.125,680.05,283.6,267.32,252.55,661.9,184.015,84.555,85.14,85.26,82.3125,83.3775,82.11,42.2997,520.38,20.5131,590.0375,489.11,686.12,686.1125,661.9,14.6171,680.05,145.695,148.6687
86.025,186263,0.3,0.3795,0.3795,57.5625,4.1031,57.5625,287.0775,1000.2,999.45,2.5995,4999.8501,5000.04,3000,2.6002,50700,180,4.5975,343.2,72.5652,710.08,1773.1799,19.4343,600.06,94.4,600.06,9.9745,1000.2,10.9513,66.2107,2.5995,76.7685,2.6002,75.5955,180,4.5975,11.1277,4999.8501,28.1206,5000.04,15.7319,3000,9.1102,343.2,710.08,1773.1799,32.995,9.555,4.132,12.302,26.2375,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.16,487.125,680.05,283.6,267.32,252.55,661.9,184.015,84.6075,85.1625,85.275,82.3425,83.37,82.065,42.2994,520.38,20.5126,590.0375,489.11,686.12,686.1125,661.9,14.6178,680.05,145.695,148.6687
86.975,186263,0.3,0.3795,0.3795,57.6,3.9875,57.6375,286.785,1000.2,999.45,2.6003,4999.8501,5000.04,3000,2.6002,50700,180,4.5975,343.2,72.5651,710.08,1773.1799,19.4356,599.94,94.4,599.94,9.9744,1000.2,10.9513,66.2101,2.6003,76.7682,2.6002,75.5955,180,4.5975,11.1278,4999.8501,28.1205,5000.04,15.7319,3000,9.1108,343.2,710.08,1773.1799,33,9.555,4.132,12.302,26.2375,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.2,487.125,680.05,283.6,267.32,252.55,661.9,184.015,84.6075,85.1475,85.2975,82.3425,83.3775,82.1025,42.299,520.38,20.5121,590.0375,489.11,686.12,686.1125,661.9,14.6184,680.05,145.695,148.6687
86.825,186263,0.3,0.3795,0.3795,57.5625,3.9484,57.6,286.9875,1000.2,999.45,2.6003,4999.8501,5000.04,3000,2.6002,50700,180,4.5975,343.2,72.5649,710.08,1773.1799,19.4358,599.94,94.4,599.94,9.9743,1000.2,10.9514,66.21,2.6003,76.768,2.6002,75.5955,180,4.5975,11.1278,4999.8501,28.1205,5000.04,15.7319,3000,9.1108,343.2,710.08,1773.1799,33,9.555,4.132,12.302,26.2375,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.2,487.125,680.05,283.65,267.32,252.55,661.9,184.015,84.63,85.185,85.335,82.2975,83.4375,82.0575,42.2986,520.38,20.5116,590.0375,489.11,686.12,686.1125,661.9,14.6191,680.05,145.695,148.6687
86.575,186263,0.3,0.3795,0.3795,57.6,3.9797,57.525,287.0775,1000.2,999.45,2.6003,4999.8501,5000.04,3000,2.6,50700,180,4.5975,343.2,72.5647,710.08,1773.1799,19.4343,600.06,94.4,600.06,9.9741,1000.2,10.9515,66.2099,2.6003,76.7682,2.6,75.5955,180,4.5975,11.128,4999.8501,28.1205,5000.04,15.7319,3000,9.1108,343.2,710.08,1773.1799,33,9.555,4.131,12.302,26.2375,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.2,487.125,680.05,283.65,267.32,252.55,661.9,184.015,84.6,85.245,85.3125,82.2225,83.475,82.0575,42.2979,520.38,20.5107,590.0375,489.11,686.12,686.1125,661.9,14.6204,680.05,145.695,148.6687
86.425,186263,0.3,0.3795,0.3795,57.6,4.2609,57.5625,286.74,1000.2,999.45,2.5995,4999.8501,5000.04,3000,2.6,50700,180,4.5975,343.2,72.5658,709.92,1773.1799,19.4363,599.88,94.4,599.88,9.9741,1000.2,10.9516,66.2105,2.5995,76.7682,2.6,75.5955,180,4.5975,11.1281,4999.8501,28.1205,5000.04,15.7319,3000,9.1102,343.2,709.92,1773.1799,33,9.555,4.131,12.302,26.232,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.2,487.125,680.05,283.65,267.32,252.55,661.9,184.015,84.57,85.2,85.3575,82.245,83.4525,82.0725,42.2975,520.38,20.5102,590.0375,489.11,686.12,686.1125,661.9,14.6211,680.05,145.695,148.6687
86.4,186263,0.3,0.3795,0.3795,57.6,4.5141,57.5625,286.9425,1000.2,999.45,2.5995,4999.8501,5000.04,3000,2.6,50700,180,4.5975,343.2,72.5659,709.92,1773.1799,19.4368,599.88,94.4,599.88,9.974,1000.2,10.9516,66.2107,2.5995,76.7682,2.6,75.5955,180,4.5975,11.1281,4999.8501,28.1205,5000.04,15.7319,3000,9.1102,343.2,709.92,1773.1799,33,9.555,4.13,12.302,26.232,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.2,487.125,680.05,283.65,267.32,252.55,661.9,184.015,84.5625,85.185,85.335,82.215,83.43,82.0875,42.2972,520.38,20.5097,590.0375,489.11,686.12,686.1125,661.9,14.6217,680.05,145.695,148.6687
86.35,186263,0.3,0.3795,0.3795,57.525,4.4266,57.5625,287.3925,999.6,999.45,2.6003,4999.8501,5000.04,3000,2.6,50700,180,4.5975,343.2,72.5648,710.08,1773.1799,19.4351,600.06,94.4,600.06,9.9746,999.6,10.9517,66.2101,2.6003,76.7682,2.6,75.5955,180,4.5975,11.1282,4999.8501,28.1205,5000.04,15.7319,3000,9.1108,343.2,710.08,1773.1799,33,9.556,4.129,12.302,26.2265,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1238,0.2082,0.1306,0.197,0.1279,0.15,0.1238,14.9096,0.15,540.2,487.125,680.05,283.65,267.32,252.55,661.9,184.015,84.585,85.1625,85.3275,82.23,83.4375,82.05,42.2968,520.38,20.5092,590.0375,489.11,686.12,686.1125,661.9,14.6224,680.05,145.695,148.6687
86.85,186263,0.3,0.3795,0.3795,57.5625,4.3297,57.525,287.1675,999.6,999.45,2.6003,4999.8501,5000.04,3000,2.6,50700,180,4.5975,343.2,72.5647,710.08,1773.1799,19.4348,600.06,94.4,600.06,9.9748,999.6,10.9517,66.21,2.6003,76.7682,2.6,75.5955,180,4.5975,11.1283,4999.8501,28.1205,5000.04,15.7319,3000,9.1108,343.2,710.08,1773.1799,33,9.556,4.129,12.302,26.221,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1238,0.2082,0.1306,0.1971,0.1279,0.15,0.1238,14.9096,0.15,540.2,487.125,680.05,283.65,267.32,252.55,661.9,184.015,84.6075,85.155,85.3575,82.2525,83.4075,82.0275,42.2965,520.38,20.5087,590.0375,489.11,686.12,686.1125,661.9,14.6231,680.05,145.695,148.6687
