DR1107.PV,WRA1103.PV,WR1104.PV,PI_1180.PV,AR1410B.PV,CCSFIC1401.PV,FRCA1112.PV,TIC_1155.PV,FI1112.PV,TI_1147.PV
287.0325,148.6687,145.695,0.2082,86.35,186263,3000.0,590.07,3000.0,686.075
287.055,148.6687,145.695,0.2082,86.2,186263,3000.0,590.07,3000.0,686.075
287.1675,148.6687,145.695,0.2082,86.5,186263,3000.0,590.07,3000.0,686.075
286.8525,148.6687,145.695,0.2082,86.825,186263,3000.0,590.07,3000.0,686.075
286.5375,148.6687,145.695,0.2082,86.125,186263,3000.0,590.07,3000.0,686.075
286.6275,148.6687,145.695,0.2082,86.875,186263,3000.0,590.07,3000.0,686.075
286.875,148.6687,145.695,0.2082,86.675,186263,3000.0,590.07,3000.0,686.075
287.505,148.6687,145.695,0.2082,86.925,186263,3000.0,590.07,3000.0,686.075
287.3025,148.6687,145.695,0.2082,86.1,186263,3000.0,590.07,3000.0,686.075
287.1225,148.6687,145.695,0.2082,86.2,186263,3000.0,590.07,3000.0,686.075
286.7625,148.6687,145.695,0.2082,86.075,186263,3000.0,590.07,3000.0,686.075
286.74,148.6687,145.695,0.2082,86.775,186263,3000.0,590.07,3000.0,686.075
287.0325,148.6687,145.695,0.2082,86.2,186263,3000.0,590.07,3000.0,686.075
287.3475,148.6687,145.695,0.2082,86.675,186263,3000.0,590.07,3000.0,686.075
286.695,148.6687,145.695,0.2082,86.225,186263,3000.0,590.07,3000.0,686.075
286.9425,148.6687,145.695,0.2082,86.375,186263,3000.0,590.07,3000.0,686.075
286.875,148.6687,145.695,0.2082,86.575,186263,3000.0,590.07,3000.0,686.075
286.56,148.6687,145.695,0.2082,86.1,186263,3000.0,590.07,3000.0,686.075
287.19,148.6687,145.695,0.2082,86.575,186263,3000.0,590.07,3000.0,686.075
287.01,148.6687,145.695,0.2082,86.65,186263,3000.0,590.07,3000.0,686.075
286.9875,148.6687,145.695,0.2082,86.575,186263,3000.0,590.07,3000.0,686.075
286.56,148.6687,145.695,0.2081,86.925,186263,3000.0,590.07,3000.0,686.075
287.01,148.6687,145.695,0.2081,86.4,186263,3000.0,590.07,3000.0,686.075
286.92,148.6687,145.695,0.2081,86.975,186263,3000.0,590.07,3000.0,686.075
286.74,148.6687,145.695,0.2081,86.375,186263,3000.0,590.07,3000.0,686.075
287.46,148.6687,145.695,0.2081,86.725,186263,3000.0,590.07,3000.0,686.075
286.5825,148.6687,145.695,0.2081,86.1,186263,3000.0,590.07,3000.0,686.075
286.83,148.6687,145.695,0.2081,86.45,186263,3000.0,590.07,3000.0,686.075
287.4375,148.6687,145.695,0.2081,86.05,186263,3000.0,590.07,3000.0,686.075
287.19,148.6687,145.695,0.2081,86.625,186263,3000.0,590.07,3000.0,686.075
286.9875,148.6687,145.695,0.2081,86.2,186263,3000.0,590.07,3000.0,686.075
286.5825,148.6687,145.695,0.2081,86.75,186263,3000.0,590.07,3000.0,686.075
287.19,148.6687,145.695,0.2081,86.4,186263,3000.0,590.07,3000.0,686.075
286.74,148.6687,145.695,0.2081,86.45,186263,3000.0,590.07,3000.0,686.075
287.37,148.6687,145.695,0.2081,86.35,186263,3000.0,590.07,3000.0,686.075
286.5825,148.6687,145.695,0.2081,86.75,186263,3000.0,590.07,3000.0,686.075
287.325,148.6687,145.695,0.2081,86.9,186263,3000.0,590.07,3000.0,686.075
286.785,148.6687,145.695,0.2081,86.9,186263,3000.0,590.07,3000.0,686.075
286.5375,148.6687,145.695,0.2081,86.925,186263,3000.0,590.07,3000.0,686.075
287.145,148.6687,145.695,0.2081,86.525,186263,3000.0,590.1025,3000.0,686.075
286.7175,148.6687,145.695,0.2081,86.95,186263,3000.0,590.1025,3000.0,686.075
286.7175,148.6687,145.695,0.2081,86.3,186263,3000.0,590.1025,3000.0,686.075
286.83,148.6687,145.695,0.2081,86.725,186263,2999.75,590.1025,2999.75,686.075
287.4375,148.6687,145.695,0.2081,86.475,186263,2999.75,590.1025,2999.75,686.075
287.37,148.6687,145.695,0.2081,86.125,186263,3000.0,590.1025,3000.0,686.075
287.505,148.6687,145.695,0.2081,86.725,186263,3000.0,590.1025,3000.0,686.075
287.505,148.6687,145.695,0.2081,86.825,186263,3000.0,590.1025,3000.0,686.075
