TIC_1155.MV,PI_1180.PV,PIC1101A.PV,PR1102A.PV,PDR1401.PV,LRCA1101.MV,PDR1103.PV,TI_1145.PV
20.3402,0.2104,14.9027,0.1993,12.298,72.1614,9.605,488.96
20.3554,0.2096,14.9027,0.1984,12.299,72.1601,9.611,488.93
20.3558,0.209,14.9027,0.1978,12.301,72.1083,9.602,488.93
20.3563,0.2085,14.9027,0.1974,12.301,72.1064,9.59,488.93
20.3414,0.2082,14.9027,0.197,12.301,72.0539,9.579,488.93
20.3413,0.2079,14.9027,0.1967,12.301,72.102,9.567,488.93
20.3412,0.2078,14.9027,0.1965,12.301,72.1002,9.557,488.93
20.3412,0.2076,14.9027,0.1964,12.301,72.1489,9.548,488.93
20.3411,0.2076,14.9027,0.1964,12.301,72.1983,9.542,488.93
20.341,0.2077,14.9027,0.1964,12.301,72.1976,9.538,488.96
20.3409,0.2078,14.9027,0.1966,12.301,72.2477,9.535,488.96
20.3409,0.2078,14.9027,0.1967,12.301,72.2983,9.533,488.96
20.3408,0.2081,14.9027,0.1969,12.301,72.2989,9.534,488.96
20.3407,0.2083,14.9027,0.1971,12.301,72.3501,9.535,488.96
20.3406,0.2086,14.9027,0.1973,12.301,72.3514,9.539,488.96
20.3406,0.2088,14.9027,0.1976,12.301,72.4033,9.543,488.96
20.3405,0.209,14.9027,0.1979,12.301,72.4052,9.549,488.99
20.3404,0.2094,14.8941,0.1982,12.301,72.407,9.556,488.99
20.3403,0.2098,14.8938,0.1986,12.301,72.4089,9.564,488.99
20.3403,0.2103,14.8936,0.1991,12.301,72.4108,9.575,488.99
20.3402,0.2106,14.9019,0.1995,12.299,72.4127,9.587,488.99
20.3401,0.2104,14.9019,0.1992,12.299,72.3639,9.599,488.99
20.34,0.2101,14.9019,0.199,12.299,72.3146,9.602,488.99
20.3399,0.2099,14.9019,0.1987,12.302,72.3152,9.603,488.99
20.3399,0.2098,14.9019,0.1986,12.302,72.2652,9.6,488.99
20.3398,0.2096,14.9019,0.1984,12.302,72.2652,9.599,488.99
20.3397,0.2095,14.9019,0.1982,12.302,72.2652,9.597,488.99
20.3396,0.2094,14.9019,0.1981,12.303,72.3158,9.594,488.99
20.3396,0.2092,14.9019,0.198,12.303,72.367,9.591,488.99
20.3395,0.2091,14.9105,0.1979,12.303,72.3683,9.588,489.02
20.3394,0.209,14.9108,0.1977,12.303,72.4202,9.585,489.02
20.3393,0.2088,14.9111,0.1976,12.303,72.4727,9.582,489.02
20.3393,0.2086,14.9027,0.1974,12.305,72.5764,9.577,489.02
20.3392,0.2086,14.9027,0.1973,12.305,72.6308,9.572,489.05
20.3391,0.2084,14.9027,0.1972,12.305,72.6858,9.567,489.05
20.339,0.2082,14.9027,0.197,12.303,72.792,9.562,489.08
20.339,0.2082,14.9027,0.1969,12.303,72.8995,9.556,489.11
20.3389,0.2079,14.9027,0.1968,12.303,72.9577,9.551,489.14
20.3388,0.2078,14.9027,0.1966,12.303,73.0671,9.545,489.14
20.3387,0.2078,14.9027,0.1965,12.304,73.1777,9.539,489.17
20.3387,0.2077,14.9027,0.1964,12.304,73.2895,9.533,489.2
20.3386,0.2077,14.9027,0.1964,12.304,73.4533,9.528,489.26
20.3385,0.2076,14.9027,0.1964,12.304,73.5683,9.523,489.29
20.3384,0.2076,14.9113,0.1964,12.304,73.6846,9.519,489.32
20.3383,0.2077,14.9116,0.1964,12.304,73.8527,9.516,489.35
20.3383,0.2077,14.9119,0.1965,12.305,73.972,9.513,489.41
20.3382,0.2078,14.9036,0.1966,12.307,74.0927,9.512,489.47
20.3381,0.2078,14.9036,0.1966,12.307,74.2652,9.511,489.5
20.338,0.2079,14.9036,0.1968,12.307,74.3889,9.511,489.56
20.338,0.2081,14.9036,0.1969,12.305,74.5645,9.512,489.62
20.3379,0.2082,14.9122,0.197,12.306,74.6914,9.512,489.68
20.3378,0.2082,14.9124,0.1971,12.307,74.8702,9.514,489.71
20.3377,0.2084,14.9127,0.1972,12.307,75.0001,9.515,489.77
20.3377,0.2085,14.913,0.1973,12.31,75.1314,9.517,489.83
20.3376,0.2086,14.9133,0.1975,12.31,75.3145,9.519,489.92
20.3375,0.2088,14.9136,0.1976,12.311,75.4489,9.522,489.98
20.3374,0.209,14.9138,0.1978,12.312,75.5845,9.525,490.04
20.3374,0.2091,14.9227,0.1979,12.313,75.772,9.529,490.1
20.3373,0.2092,14.9233,0.1981,12.314,75.9108,9.533,490.16
20.3372,0.2094,14.9238,0.1982,12.315,76.0508,9.537,490.25
20.3371,0.2096,14.9244,0.1983,12.318,76.192,9.54,490.31
20.337,0.2097,14.9249,0.1985,12.319,76.3345,9.545,490.37
20.337,0.2098,14.9255,0.1986,12.32,76.4783,9.549,490.46
20.3369,0.21,14.9347,0.1988,12.321,76.6233,9.553,490.52
20.3368,0.2102,14.9355,0.199,12.322,76.8202,9.557,490.58
20.3367,0.2103,14.9363,0.1991,12.324,76.9176,9.562,490.67
20.3367,0.2104,14.9372,0.1992,12.326,77.0664,9.567,490.73
20.3366,0.2105,14.938,0.1993,12.329,77.2164,9.571,490.82
20.3365,0.2106,14.9474,0.1994,12.33,77.3677,9.575,490.88
20.3364,0.2107,14.9486,0.1995,12.331,77.5201,9.579,490.97
20.3364,0.2107,14.9497,0.1995,12.332,77.6739,9.582,491.03
20.3363,0.2108,14.9508,0.1996,12.335,77.7783,9.585,491.12
20.3362,0.2108,14.9519,0.1996,12.337,77.9339,9.586,491.21
20.3361,0.2108,14.9616,0.1996,12.338,78.0908,9.588,491.27
20.3361,0.2108,14.963,0.1996,12.34,78.1983,9.59,491.36
20.336,0.211,14.9644,0.1996,12.341,78.357,9.59,491.42
20.3359,0.2109,14.9658,0.1997,12.344,78.4664,9.591,491.51
20.3358,0.2109,14.9672,0.1997,12.346,78.627,9.591,491.6
20.3358,0.2108,14.9685,0.1997,12.347,78.7383,9.591,491.69
20.3357,0.2109,14.9785,0.1996,12.349,78.9008,9.591,491.75
20.3356,0.2109,14.9802,0.1996,12.35,79.0645,9.59,491.84
20.3355,0.2108,14.9819,0.1996,12.351,79.1789,9.59,491.93
20.3354,0.2109,14.9835,0.1996,12.354,79.3445,9.589,492.02
20.3354,0.2109,14.9852,0.1996,12.356,79.4608,9.588,492.11
20.3353,0.2109,14.9869,0.1997,12.357,79.6283,9.587,492.2
20.3352,0.2109,14.9886,0.1997,12.358,79.7464,9.587,492.29
20.3351,0.2109,14.9902,0.1997,12.36,79.9158,9.586,492.38
20.3351,0.211,14.9919,0.1997,12.361,80.0358,9.586,492.47
20.335,0.2109,15.0022,0.1997,12.362,80.207,9.585,492.56
20.3349,0.211,15.0041,0.1997,12.364,80.3289,9.585,492.65
20.3348,0.211,15.0061,0.1997,12.365,80.4514,9.585,492.74
20.3348,0.211,15.008,0.1998,12.367,80.6252,9.584,492.83
20.3347,0.2111,15.0099,0.1999,12.368,80.7495,9.585,492.92
20.3346,0.2111,15.0119,0.1999,12.37,80.9252,9.585,493.04
20.3345,0.2112,15.0138,0.2,12.371,81.0514,9.585,493.13
20.3345,0.2112,15.0158,0.2,12.372,81.1783,9.586,493.22
20.3344,0.2114,15.0177,0.2001,12.373,81.3564,9.586,493.34
20.3343,0.2114,15.0197,0.2002,12.374,81.4851,9.587,493.43
20.3342,0.2116,15.0216,0.2003,12.376,81.6145,9.589,493.52
20.3342,0.2116,15.0236,0.2004,12.377,81.7445,9.591,493.61
20.3341,0.2118,15.0255,0.2005,12.377,81.8752,9.593,493.73
20.334,0.2118,15.0274,0.2006,12.379,82.0064,9.595,493.82
20.3339,0.2119,15.0294,0.2007,12.38,82.1383,9.598,493.94
20.3338,0.2119,15.0313,0.2008,12.382,82.2708,9.601,494.03
20.3338,0.2121,15.0333,0.2008,12.383,82.4039,9.603,494.12
20.3337,0.2121,15.0438,0.2009,12.384,82.4871,9.604,494.24
20.3336,0.2121,15.0461,0.2009,12.385,82.6208,9.606,494.33
20.3335,0.212,15.0483,0.2009,12.386,82.7552,9.607,494.45
20.3335,0.2121,15.0505,0.2008,12.389,82.8395,9.608,494.54
20.3334,0.2121,15.0441,0.2008,12.391,82.9745,9.607,494.63
20.3333,0.2121,15.0461,0.2009,12.391,83.0595,9.607,494.75
20.3332,0.2121,15.048,0.2009,12.393,83.1951,9.607,494.84
20.3332,0.2121,15.0586,0.2009,12.391,83.2808,9.606,494.96
20.3331,0.2121,15.0608,0.2009,12.393,83.417,9.606,495.05
20.333,0.2122,15.063,0.2009,12.394,83.5033,9.605,495.17
20.3329,0.2122,15.0652,0.2009,12.397,83.5895,9.605,495.26
20.3329,0.2122,15.0674,0.2009,12.398,83.7264,9.605,495.38
20.3328,0.2122,15.0697,0.201,12.399,83.8133,9.605,495.5
20.3327,0.2123,15.0719,0.2011,12.4,83.9002,9.606,495.59
20.3326,0.2123,15.0741,0.2011,12.401,83.987,9.606,495.71
20.3325,0.2124,15.0763,0.2011,12.401,84.0739,9.607,495.8
20.3325,0.2125,15.0786,0.2012,12.403,84.1608,9.607,495.92
20.3324,0.2126,15.0808,0.2013,12.403,84.2477,9.608,496.01
20.3323,0.2126,15.083,0.2014,12.405,84.3345,9.61,496.13
20.3322,0.2126,15.0852,0.2014,12.405,84.4214,9.611,496.25
20.3322,0.2126,15.0874,0.2015,12.407,84.5083,9.612,496.34
20.3321,0.2127,15.0897,0.2015,12.407,84.5952,9.613,496.46
20.332,0.2128,15.0919,0.2015,12.408,84.682,9.614,496.55
20.3319,0.2128,15.0855,0.2015,12.408,84.7689,9.614,496.67
20.3319,0.2128,15.0874,0.2016,12.409,84.8558,9.615,496.79
20.3318,0.2128,15.0894,0.2016,12.41,84.9427,9.616,496.88
20.3317,0.2128,15.0913,0.2016,12.409,84.9789,9.616,497.0
20.3316,0.2128,15.1019,0.2016,12.41,85.0652,9.617,497.12
20.3316,0.2127,15.1041,0.2016,12.41,85.1514,9.617,497.21
20.3315,0.2127,15.1063,0.2015,12.411,85.187,9.616,497.33
20.3314,0.2126,15.0999,0.2015,12.414,85.2727,9.615,497.42
20.3313,0.2126,15.1019,0.2014,12.413,85.3583,9.613,497.54
20.3313,0.2126,15.1038,0.2013,12.415,85.3933,9.61,497.66
20.3312,0.2124,15.1058,0.2013,12.412,85.4783,9.608,497.78
20.3311,0.2124,15.1077,0.2012,12.414,85.5127,9.606,497.87
20.331,0.2124,15.1097,0.2012,12.414,85.597,9.603,497.99
20.3309,0.2124,15.1116,0.2011,12.415,85.6308,9.601,498.11
20.3309,0.2124,15.1136,0.2011,12.415,85.7145,9.599,498.2
20.3308,0.2124,15.1155,0.2012,12.415,85.7477,9.597,498.32
20.3307,0.2123,15.1174,0.2012,12.416,85.8308,9.595,498.44
20.3306,0.2125,15.1108,0.2012,12.416,85.8633,9.595,498.56
20.3306,0.2125,15.1124,0.2013,12.417,85.9458,9.594,498.68
20.3305,0.2126,15.1141,0.2013,12.416,85.9776,9.594,498.77
20.3304,0.2126,15.1158,0.2015,12.415,86.0595,9.594,498.89
20.3303,0.2127,15.1174,0.2015,12.415,86.0908,9.595,499.01
20.3303,0.2126,15.1191,0.2015,12.415,86.1214,9.596,499.13
