TI_1145.PV,PIC1101A.PV,PDR1401.PV,LRCA1101.MV,LRCA1101.PV,TI1105A.PV,TIC_1101.PV,PDR1103.PV
488.93,14.9041,12.302,72.1389,32.99,539.48,519.57,9.606
488.93,14.9041,12.302,72.1376,32.99,539.36,519.54,9.61
488.93,14.9041,12.302,72.0858,32.985,539.32,519.57,9.613
488.93,14.9041,12.302,72.0839,32.985,539.36,519.6,9.607
488.93,14.9041,12.302,72.082,32.985,539.36,519.63,9.599
488.93,14.9041,12.302,72.0801,32.985,539.4,519.72,9.592
488.93,14.9041,12.302,72.0783,32.985,539.52,519.84,9.586
488.93,14.9041,12.302,72.0764,32.985,539.64,519.96,9.579
488.93,14.9041,12.302,72.0745,32.985,539.76,520.08,9.574
488.93,14.9041,12.302,72.1232,32.99,539.88,520.2,9.57
488.93,14.9041,12.302,72.122,32.99,540.0,520.29,9.567
488.93,14.9041,12.302,72.1714,32.995,540.08,520.35,9.565
488.93,14.9041,12.302,72.1707,32.995,540.16,520.44,9.564
488.93,14.9041,12.302,72.1701,32.995,540.24,520.44,9.563
488.93,14.9041,12.302,72.2201,33.0,540.28,520.47,9.563
488.93,14.9041,12.302,72.2201,33.0,540.28,520.44,9.565
488.93,14.9041,12.302,72.2201,33.0,540.28,520.41,9.567
488.93,14.9041,12.302,72.2201,33.0,540.2,520.35,9.57
488.93,14.9041,12.301,72.2708,33.005,540.16,520.29,9.575
488.93,14.9041,12.301,72.2714,33.005,540.12,520.2,9.58
488.96,14.9041,12.301,72.2214,33.0,540.0,520.11,9.586
488.96,14.9041,12.301,72.2214,33.0,539.92,520.05,9.593
488.96,14.9041,12.301,72.2214,33.0,539.84,519.96,9.595
488.96,14.9041,12.302,72.2214,33.0,539.76,519.87,9.596
488.96,14.9041,12.302,72.1707,32.995,539.68,519.78,9.598
488.93,14.9041,12.302,72.1701,32.995,539.56,519.72,9.6
488.93,14.9041,12.302,72.1695,32.995,539.52,519.66,9.603
488.93,14.9041,12.302,72.1689,32.995,539.44,519.63,9.605
488.93,14.9041,12.302,72.1176,32.99,539.44,519.6,9.604
488.93,14.9041,12.302,72.1163,32.99,539.4,519.6,9.602
488.93,14.9041,12.303,72.1151,32.99,539.4,519.57,9.601
488.93,14.9127,12.303,72.1138,32.99,539.36,519.54,9.6
488.93,14.913,12.303,72.1126,32.99,539.32,519.48,9.602
488.93,14.9133,12.303,72.1113,32.99,539.24,519.42,9.605
488.93,14.9049,12.305,72.1101,32.99,539.2,519.36,9.609
488.93,14.9049,12.305,72.1088,32.99,539.12,519.33,9.613
488.93,14.9049,12.305,72.057,32.985,539.08,519.36,9.618
488.93,14.9049,12.303,72.0551,32.985,539.12,519.45,9.613
488.9,14.9049,12.303,72.0532,32.985,539.24,519.63,9.606
488.9,14.9049,12.303,72.0007,32.98,539.4,519.81,9.599
488.9,14.9049,12.303,72.0489,32.985,539.6,520.02,9.59
488.9,14.9049,12.303,72.047,32.985,539.8,520.26,9.583
488.9,14.9049,12.303,72.0957,32.99,540.08,520.53,9.575
488.9,14.9049,12.303,72.0945,32.99,540.32,520.83,9.568
488.9,14.9049,12.303,72.1438,32.995,540.64,521.1,9.563
488.93,14.9049,12.302,72.1938,33.0,540.92,521.4,9.556
488.93,14.9049,12.302,72.2445,33.005,541.24,521.67,9.551
488.93,14.9049,12.302,72.2957,33.01,541.52,521.91,9.546
488.93,14.9049,12.302,72.3476,33.015,541.8,522.15,9.541
488.96,14.9049,12.302,72.4001,33.02,542.0,522.33,9.538
488.96,14.9049,12.301,72.4532,33.025,542.2,522.48,9.535
488.96,14.9049,12.301,72.507,33.03,542.4,522.63,9.534
488.99,14.9049,12.301,72.5614,33.035,542.52,522.75,9.535
488.99,14.9049,12.301,72.6164,33.04,542.64,522.87,9.536
489.02,14.9049,12.301,72.672,33.045,542.76,522.96,9.539
489.02,14.9049,12.301,72.7282,33.05,542.88,523.02,9.543
489.05,14.9049,12.301,72.7851,33.055,542.92,523.05,9.548
489.05,14.9049,12.301,72.8426,33.06,542.96,523.08,9.553
489.08,14.9049,12.301,72.8501,33.06,543.0,523.11,9.56
489.08,14.9049,12.301,72.9082,33.065,543.0,523.08,9.565
489.11,14.9049,12.302,72.9163,33.065,543.0,523.05,9.572
489.11,14.9049,12.302,72.9751,33.07,542.96,522.99,9.578
489.14,14.9049,12.302,72.9838,33.07,542.92,522.93,9.584
489.14,14.9049,12.303,72.9926,33.07,542.84,522.87,9.591
489.17,14.9049,12.303,73.0014,33.07,542.8,522.87,9.597
489.17,14.9049,12.303,73.0607,33.075,542.76,522.9,9.603
489.2,14.9136,12.304,73.0701,33.075,542.8,522.93,9.605
489.2,14.9138,12.305,73.0795,33.075,542.84,523.02,9.606
489.23,14.9141,12.305,73.0889,33.075,542.92,523.11,9.605
489.23,14.9144,12.308,73.0982,33.075,543.04,523.2,9.602
489.26,14.9147,12.308,73.1076,33.075,543.12,523.35,9.599
489.26,14.9149,12.308,73.1676,33.08,543.28,523.44,9.596
489.29,14.9152,12.309,73.1776,33.08,543.36,523.56,9.592
489.29,14.9155,12.309,73.2382,33.085,543.52,523.71,9.589
489.32,14.9158,12.31,73.2995,33.09,543.64,523.86,9.587
489.32,14.9161,12.311,73.3108,33.09,543.8,523.98,9.585
489.35,14.9163,12.311,73.3726,33.095,543.92,524.1,9.584
489.35,14.9252,12.312,73.4351,33.1,544.04,524.22,9.583
489.38,14.9258,12.312,73.4982,33.105,544.16,524.31,9.583
489.41,14.9263,12.312,73.562,33.11,544.28,524.46,9.584
489.41,14.9183,12.314,73.5757,33.11,544.44,524.58,9.584
489.44,14.9185,12.314,73.6401,33.115,544.56,524.7,9.585
489.47,14.9188,12.314,73.7051,33.12,544.68,524.76,9.586
489.5,14.9191,12.313,73.7201,33.12,544.76,524.85,9.586
489.5,14.9194,12.313,73.7857,33.125,544.84,524.91,9.587
489.53,14.9283,12.313,73.8014,33.125,544.88,524.97,9.589
489.56,14.9288,12.314,73.8676,33.13,544.96,525.03,9.59
489.59,14.9294,12.314,73.9345,33.135,545.04,525.09,9.592
489.59,14.9213,12.316,73.9513,33.135,545.08,525.12,9.594
489.62,14.9216,12.316,74.0189,33.14,545.12,525.18,9.595
489.65,14.9219,12.316,74.0364,33.14,545.2,525.24,9.597
489.68,14.9308,12.316,74.1045,33.145,545.24,525.3,9.599
489.71,14.9313,12.316,74.1226,33.145,545.28,525.36,9.601
489.71,14.9319,12.316,74.1408,33.145,545.36,525.39,9.603
489.74,14.9324,12.319,74.2095,33.15,545.4,525.45,9.604
489.77,14.933,12.319,74.2282,33.15,545.48,525.48,9.605
489.8,14.9335,12.319,74.2976,33.155,545.52,525.6,9.606
489.83,14.9341,12.319,74.317,33.155,545.64,525.63,9.606
489.83,14.9347,12.32,74.3364,33.155,545.68,525.75,9.606
489.86,14.9352,12.32,74.4064,33.16,545.76,525.84,9.606
489.89,14.9358,12.32,74.4264,33.16,545.88,525.93,9.605
489.92,14.9363,12.321,74.497,33.165,545.96,526.02,9.604
489.95,14.9369,12.322,74.5176,33.165,546.08,526.14,9.603
489.98,14.9374,12.322,74.5383,33.165,546.16,526.23,9.601
490.01,14.938,12.323,74.6095,33.17,546.28,526.29,9.599
490.01,14.9385,12.323,74.6307,33.17,546.36,526.44,9.598
490.04,14.9391,12.323,74.7026,33.175,546.48,526.53,9.597
490.07,14.9396,12.323,74.7751,33.18,546.56,526.59,9.595
