LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TI_1145.PV
72.1996,32.99,9.593,4.162,12.304,45.462,25.495,14.9052,0.1784,0.2097,0.1985,539.44,84.5775,85.08,85.185,82.3575,83.4825,81.99,42.9534,519.66,20.3421,488.99
72.1983,32.99,9.596,4.173,12.304,45.396,25.407,14.9052,0.1783,0.2098,0.1986,539.44,84.57,85.0425,85.245,82.32,83.5125,82.0425,42.9585,519.63,20.342,488.99
72.1971,32.99,9.598,4.161,12.304,45.27,25.3465,14.9052,0.1781,0.21,0.1987,539.4,84.5625,85.065,85.2525,82.29,83.5425,82.08,42.9675,519.57,20.3419,488.99
72.1958,32.99,9.602,4.141,12.304,45.078,25.2805,14.9052,0.178,0.2102,0.1989,539.36,84.6075,85.0275,85.26,82.245,83.49,82.035,42.9805,519.48,20.3419,488.99
72.1945,32.99,9.606,4.125,12.304,44.832,25.198,14.9052,0.178,0.2104,0.1992,539.24,84.6525,85.035,85.26,82.2675,83.475,82.02,42.9976,519.36,20.3418,488.99
72.1933,32.99,9.612,4.115,12.304,44.64,25.0825,14.9052,0.1779,0.2105,0.1993,539.16,84.6375,85.0875,85.2525,82.2525,83.43,82.0575,43.0077,519.3,20.3417,488.96
72.1414,32.985,9.618,4.101,12.304,45.324,24.9615,14.9052,0.1771,0.2099,0.1987,539.08,84.615,85.1325,85.305,82.2225,83.4225,82.05,43.0106,519.3,20.3416,488.96
72.1396,32.985,9.611,4.049,12.304,45.786,25.1155,14.9052,0.1764,0.2094,0.1982,539.08,84.6525,85.14,85.2975,82.2375,83.46,82.0425,43.0059,519.36,20.3416,488.96
72.0871,32.98,9.603,4.012,12.304,46.086,25.341,14.9052,0.1765,0.2091,0.1979,539.12,84.6975,85.11,85.305,82.2825,83.43,81.9825,42.9972,519.45,20.3415,488.96
72.0846,32.98,9.595,4.036,12.304,46.35,25.539,14.9052,0.1771,0.2089,0.1976,539.2,84.6825,85.1025,85.2675,82.2825,83.49,81.945,42.9844,519.57,20.3414,488.96
72.0821,32.98,9.587,4.097,12.303,46.59,25.7095,14.9052,0.1777,0.2086,0.1974,539.36,84.6675,85.0575,85.245,82.2525,83.5125,81.9525,42.9636,519.75,20.3413,488.96
72.0796,32.98,9.58,4.158,12.303,46.824,25.858,14.9052,0.1782,0.2083,0.1972,539.52,84.645,85.035,85.2375,82.2225,83.46,81.9525,42.9421,519.93,20.3413,488.96
72.1277,32.985,9.572,4.201,12.303,46.986,25.9845,14.9052,0.1784,0.2082,0.197,539.72,84.675,85.005,85.2,82.215,83.4375,81.975,42.9235,520.08,20.3412,488.96
72.1258,32.985,9.565,4.229,12.303,47.07,26.0945,14.9052,0.1786,0.2082,0.1969,539.88,84.6375,85.005,85.17,82.185,83.4525,81.975,42.9044,520.23,20.3411,488.96
72.1745,32.99,9.56,4.25,12.303,47.088,26.177,14.9052,0.1788,0.2082,0.1969,540.04,84.675,84.99,85.1475,82.1925,83.475,82.005,42.8885,520.35,20.341,488.96
72.1733,32.99,9.556,4.269,12.303,47.04,26.232,14.9052,0.1789,0.2082,0.1969,540.16,84.6525,85.02,85.2,82.215,83.5125,82.05,42.872,520.47,20.341,488.96
72.2227,32.995,9.553,4.281,12.302,46.98,26.2485,14.8966,0.179,0.2082,0.197,540.28,84.6225,85.0725,85.215,82.2375,83.535,82.02,42.8626,520.53,20.3409,488.96
72.222,32.995,9.551,4.285,12.302,46.854,26.243,14.8963,0.179,0.2083,0.1971,540.36,84.5925,85.0575,85.2225,82.2675,83.5425,81.99,42.853,520.59,20.3408,488.96
72.272,33,9.551,4.283,12.302,46.71,26.2155,14.8961,0.1789,0.2084,0.1973,540.44,84.6075,85.0425,85.2675,82.2975,83.58,81.9975,42.8393,520.68,20.3407,488.96
72.272,33,9.552,4.275,12.3,46.59,26.1605,14.8958,0.1788,0.2086,0.1974,540.52,84.6225,85.065,85.29,82.335,83.5275,81.975,42.8328,520.71,20.3406,488.96
72.3227,33.005,9.554,4.261,12.3,46.422,26.1,14.9041,0.1787,0.2087,0.1975,540.52,84.6075,85.1025,85.26,82.3125,83.55,81.975,42.8299,520.71,20.3406,488.96
72.3233,33.005,9.557,4.244,12.3,46.236,26.0285,14.9041,0.1785,0.209,0.1977,540.52,84.6,85.125,85.2675,82.3125,83.5575,82.02,42.8346,520.65,20.3405,488.96
72.3239,33.005,9.561,4.228,12.3,46.038,25.9405,14.9041,0.1784,0.209,0.1979,540.48,84.5925,85.1175,85.2525,82.2825,83.5275,82.035,42.832,520.65,20.3404,488.96
72.3246,33.005,9.565,4.211,12.301,45.87,25.836,14.8955,0.1783,0.2093,0.1981,540.48,84.6,85.17,85.275,82.305,83.5125,82.02,42.8368,520.59,20.3403,488.96
72.3252,33.005,9.57,4.19,12.301,45.654,25.7205,14.8952,0.1781,0.2095,0.1983,540.4,84.6,85.14,85.29,82.305,83.505,81.975,42.8495,520.47,20.3403,488.99
72.3258,33.005,9.576,4.169,12.301,45.342,25.6105,14.8949,0.1781,0.2099,0.1986,540.28,84.6075,85.0875,85.2525,82.3425,83.505,81.99,42.8664,520.32,20.3402,488.99
72.3264,33.005,9.584,4.154,12.3,44.964,25.473,14.9033,0.1781,0.2102,0.199,540.12,84.585,85.0575,85.2075,82.29,83.46,81.9675,42.8876,520.14,20.3401,488.99
72.3271,33.005,9.593,4.14,12.3,44.73,25.2915,14.9033,0.1779,0.2104,0.1993,539.96,84.6,85.0875,85.1775,82.3275,83.4375,81.9975,42.9058,519.99,20.34,488.99
72.2771,33,9.601,4.113,12.299,45.102,25.1375,14.9033,0.1771,0.2101,0.1989,539.8,84.5625,85.05,85.155,82.3125,83.4825,82.0275,42.9172,519.9,20.34,488.99
72.2771,33,9.601,4.055,12.302,45.348,25.1705,14.9033,0.1764,0.2098,0.1987,539.68,84.5175,85.1025,85.155,82.3425,83.505,82.035,42.9251,519.84,20.3399,488.99
72.2264,32.995,9.6,4.009,12.302,45.528,25.264,14.9033,0.1763,0.2097,0.1985,539.6,84.555,85.125,85.1325,82.305,83.5275,82.0425,42.9295,519.81,20.3398,488.99
72.2258,32.995,9.597,4.012,12.302,45.69,25.3685,14.9033,0.1767,0.2095,0.1983,539.6,84.5625,85.1475,85.2,82.3125,83.5725,82.0125,42.9303,519.81,20.3397,488.99
72.2252,32.995,9.594,4.049,12.302,45.786,25.4565,14.9033,0.1773,0.2095,0.1982,539.6,84.57,85.1025,85.155,82.3425,83.595,82.02,42.9348,519.78,20.3549,488.99
72.1739,32.99,9.592,4.096,12.302,45.732,25.528,14.9033,0.1778,0.2094,0.1983,539.56,84.57,85.1475,85.2225,82.305,83.625,81.99,42.9319,519.81,20.3554,488.99
72.1727,32.99,9.591,4.138,12.303,45.69,25.55,14.9033,0.1781,0.2096,0.1983,539.6,84.5625,85.185,85.1925,82.29,83.61,81.9975,42.9364,519.78,20.3558,488.99
72.222,32.995,9.591,4.161,12.303,45.534,25.528,14.9033,0.1783,0.2096,0.1985,539.56,84.5625,85.185,85.23,82.2825,83.625,81.9825,42.9336,519.81,20.3562,488.99
72.1708,32.99,9.594,4.167,12.303,45.798,25.473,14.9033,0.1779,0.2095,0.1982,539.6,84.54,85.215,85.2225,82.275,83.64,82.0125,42.9381,519.78,20.3566,488.96
72.1695,32.99,9.591,4.146,12.303,45.81,25.517,14.9119,0.1777,0.2094,0.1982,539.56,84.525,85.1925,85.2075,82.2675,83.6475,82.0575,42.9352,519.81,20.357,488.96
72.1683,32.99,9.591,4.127,12.303,45.786,25.5555,14.9122,0.1777,0.2095,0.1982,539.6,84.57,85.23,85.1925,82.2375,83.6775,82.0875,42.9397,519.78,20.3421,488.96
72.167,32.99,9.59,4.129,12.303,45.612,25.55,14.9124,0.1779,0.2097,0.1984,539.56,84.5475,85.2,85.185,82.26,83.6325,82.0425,42.9444,519.75,20.3421,488.96
72.1658,32.99,9.593,4.145,12.305,45.384,25.495,14.9041,0.1782,0.2098,0.1986,539.52,84.5925,85.185,85.1625,82.2375,83.655,82.02,42.9492,519.72,20.342,488.96
72.1645,32.99,9.597,4.16,12.305,45.18,25.3905,14.9041,0.1783,0.21,0.1988,539.52,84.5925,85.1925,85.1625,82.245,83.6175,82.0575,42.9578,519.66,20.3419,488.96
72.1633,32.99,9.602,4.159,12.305,45.138,25.275,14.9041,0.1781,0.2101,0.1989,539.44,84.5475,85.1475,85.1625,82.305,83.58,82.0575,42.9667,519.6,20.3571,488.96
72.162,32.99,9.605,4.136,12.303,45.078,25.2145,14.9041,0.1778,0.2101,0.1989,539.4,84.5475,85.11,85.1925,82.305,83.61,82.02,42.9721,519.57,20.3575,488.96
72.1608,32.99,9.608,4.106,12.303,45.558,25.1705,14.9041,0.1771,0.2096,0.1984,539.36,84.5325,85.1475,85.245,82.2825,83.6475,81.9825,42.9701,519.6,20.358,488.96
72.1089,32.985,9.603,4.066,12.303,45.894,25.297,14.9041,0.1767,0.2094,0.1981,539.36,84.5475,85.14,85.23,82.2375,83.595,81.9975,42.9679,519.63,20.3584,488.96
72.107,32.985,9.596,4.046,12.303,46.026,25.462,14.9041,0.1769,0.2093,0.198,539.4,84.5625,85.1625,85.26,82.2,83.625,81.9975,42.9694,519.63,20.3588,488.96
72.1052,32.985,9.592,4.075,12.303,46.116,25.594,14.9041,0.1775,0.2091,0.1979,539.4,84.5625,85.2,85.29,82.2,83.6325,81.9975,42.9596,519.72,20.3592,488.96
72.1033,32.985,9.588,4.127,12.303,46.206,25.6765,14.9041,0.178,0.209,0.1978,539.48,84.5775,85.1775,85.245,82.1925,83.6175,81.975,42.957,519.75,20.3443,488.96
