TI_1145.PV,TI1105A.PV,PDR1106.PV,TIC_1101.MV,TIA2872.PV,PI_1180.PV,WR1104.PV,TIA2876.PV,PDR1401.PV,PR1102A.PV,LRCA1101.PV,LRCA1101.MV,PDRSA1104.PV,PIC1101A.PV,PDRCA1109.PV,TIC_1101.PV,TIA2877.PV,TIC_1155.MV,TIA2875.PV,PDR1103.PV,PI_1138B.PV,PI_1132A.PV,TIA2874.PV,TIA2873.PV,WRA1103.PV,TI_1144.PV
489.2,536.4,3.989,86.6744,84.63,0.2444,145.706,83.595,12.309,0.2331,32.985,65.2392,-15.6395,14.8958,10.854,516.72,81.975,21.7023,82.335,9.567,0.1657,0.2171,85.3875,85.0875,148.68,517.76
489.17,536.4,3.991,86.6876,84.6075,0.2444,145.717,83.625,12.309,0.2331,32.985,65.2374,-15.6505,14.8958,10.854,516.72,82.0275,21.7022,82.32,9.567,0.1657,0.2171,85.4025,85.11,148.6913,517.73
489.17,536.36,3.992,86.7046,84.57,0.2444,145.717,83.6325,12.308,0.2331,32.98,65.1848,-15.656,14.8958,10.854,516.69,81.9825,21.7021,82.275,9.567,0.1657,0.2171,85.3875,85.095,148.6913,517.73
489.14,536.36,3.993,86.718,84.5775,0.2444,145.717,83.6625,12.307,0.2331,32.975,65.1317,-15.6615,14.8958,10.854,516.69,81.9525,21.702,82.3125,9.568,0.1657,0.2171,85.365,85.08,148.6913,517.7
489.14,536.36,3.994,86.7314,84.54,0.2444,145.717,83.625,12.306,0.2331,32.975,65.1286,-15.667,14.8958,10.854,516.69,81.9975,21.702,82.275,9.568,0.1657,0.2171,85.32,85.05,148.6913,517.7
489.11,536.36,3.995,86.7448,84.495,0.2444,145.728,83.64,12.306,0.2331,32.97,65.0748,-15.667,14.8958,10.86,516.69,81.9675,21.7019,82.2525,9.568,0.1657,0.2172,85.3125,85.035,148.6913,517.7
489.11,536.36,3.996,86.7581,84.495,0.2444,145.728,83.5875,12.305,0.2331,32.97,65.0711,-15.6725,14.8958,10.866,516.69,81.945,21.7018,82.2075,9.568,0.1657,0.2172,85.2825,85.02,148.7025,517.67
489.11,536.36,3.998,86.7715,84.495,0.2443,145.728,83.55,12.305,0.2331,32.965,65.0167,-15.678,14.8872,10.872,516.69,81.915,21.7017,82.1925,9.568,0.1657,0.2172,85.2675,85.0725,148.7025,517.67
489.08,536.36,4.001,86.7811,84.4725,0.2443,145.728,83.535,12.304,0.2331,32.965,65.0123,-15.678,14.8869,10.872,516.72,81.9375,21.7016,82.2225,9.568,0.1657,0.2173,85.2525,85.05,148.7025,517.64
489.08,536.4,4.004,86.7944,84.48,0.2443,145.728,83.58,12.303,0.2331,32.96,64.9573,-15.678,14.8866,10.878,516.72,81.9375,21.7016,82.275,9.568,0.1657,0.2173,85.2075,85.08,148.7025,517.64
489.05,536.4,4.008,86.8039,84.4725,0.2443,145.728,83.5425,12.301,0.233,32.96,64.9523,-15.6725,14.8863,10.884,516.75,81.915,21.7015,82.2375,9.568,0.1657,0.2174,85.2,85.1175,148.7025,517.61
489.05,536.4,4.012,86.8133,84.525,0.2443,145.739,83.5725,12.301,0.233,32.955,64.8967,-15.6725,14.8861,10.89,516.78,81.9525,21.7014,82.2225,9.568,0.1657,0.2174,85.2375,85.1475,148.7137,517.61
489.02,536.44,4.015,86.8225,84.4875,0.2443,145.739,83.5575,12.3,0.233,32.955,64.8911,-15.667,14.8858,10.896,516.81,81.9225,21.7013,82.2375,9.568,0.1656,0.2174,85.245,85.11,148.7137,517.58
489.02,536.48,4.019,86.8316,84.4725,0.2443,145.739,83.5875,12.3,0.233,32.955,64.8855,-15.667,14.8855,10.902,516.84,81.915,21.7013,82.23,9.568,0.1656,0.2175,85.2375,85.1175,148.7137,517.58
489.02,536.48,4.022,86.8406,84.465,0.2443,145.739,83.58,12.3,0.233,32.95,64.8292,-15.667,14.8852,10.908,516.87,81.9225,21.7012,82.2525,9.568,0.1656,0.2175,85.2825,85.0875,148.7137,517.58
488.99,536.52,4.025,86.8495,84.465,0.2443,145.739,83.595,12.299,0.233,32.95,64.823,-15.667,14.8849,10.914,516.9,81.9675,21.7011,82.215,9.568,0.1656,0.2176,85.2375,85.065,148.7137,517.55
488.99,536.56,4.029,86.8583,84.45,0.2442,145.739,83.61,12.299,0.233,32.95,64.8167,-15.667,14.8847,10.926,516.93,82.005,21.701,82.245,9.567,0.1656,0.2176,85.2525,85.065,148.7137,517.55
488.96,536.6,4.032,86.867,84.4275,0.2442,145.739,83.5575,12.299,0.233,32.95,64.8105,-15.6615,14.8844,10.938,516.96,82.005,21.701,82.2825,9.567,0.1656,0.2176,85.245,85.0275,148.7137,517.52
488.96,536.64,4.035,86.8717,84.42,0.2442,145.739,83.535,12.297,0.233,32.945,64.7536,-15.6505,14.8841,10.95,517.02,81.975,21.7009,82.29,9.567,0.1656,0.2177,85.215,84.9825,148.7137,517.52
488.96,536.68,4.039,86.8762,84.465,0.2442,145.739,83.49,12.297,0.233,32.945,64.7467,-15.6395,14.8838,10.968,517.08,82.0125,21.7008,82.305,9.566,0.1656,0.2177,85.2375,85.035,148.7137,517.52
488.93,536.76,4.043,86.8805,84.495,0.2442,145.739,83.4675,12.297,0.2329,32.945,64.7399,-15.6285,14.8836,10.986,517.14,81.975,21.7007,82.32,9.566,0.1656,0.2178,85.2675,85.005,148.7137,517.49
488.93,536.8,4.049,86.8846,84.495,0.2442,145.739,83.4525,12.296,0.2329,32.945,64.733,-15.6175,14.8833,11.01,517.2,82.005,21.7007,82.29,9.565,0.1656,0.2178,85.245,84.99,148.7137,517.49
488.93,536.88,4.055,86.8846,84.54,0.2442,145.739,83.43,12.296,0.2329,32.945,64.7261,-15.6065,14.883,11.028,517.29,82.005,21.7006,82.26,9.565,0.1656,0.2179,85.23,85.0125,148.7137,517.49
488.9,536.96,4.062,86.888,84.5625,0.2442,145.739,83.43,12.296,0.2329,32.945,64.7192,-15.59,14.8827,11.046,517.35,82.0425,21.7005,82.2225,9.564,0.1655,0.218,85.2225,85.02,148.7137,517.46
488.9,537.04,4.07,86.8875,84.585,0.2441,145.739,83.4525,12.296,0.2328,32.945,64.7124,-15.579,14.8824,11.07,517.44,81.99,21.7004,82.2225,9.563,0.1655,0.2181,85.215,85.065,148.7137,517.46
488.9,537.12,4.078,86.8866,84.585,0.2441,145.739,83.4825,12.295,0.2328,32.945,64.7055,-15.5625,14.8822,11.088,517.53,81.975,21.7003,82.2525,9.562,0.1655,0.2182,85.26,85.065,148.7137,517.46
488.9,537.24,4.087,86.8853,84.5775,0.2441,145.739,83.4825,12.295,0.2328,32.945,64.6986,-15.546,14.8733,11.106,517.62,81.975,21.7003,82.305,9.561,0.1655,0.2183,85.2225,85.095,148.7137,517.43
488.87,537.32,4.095,86.8798,84.5775,0.244,145.739,83.4675,12.295,0.2328,32.945,64.6917,-15.535,14.8727,11.124,517.74,82.02,21.7002,82.305,9.561,0.1655,0.2184,85.245,85.1175,148.7137,517.43
488.87,537.44,4.103,86.8777,84.5325,0.244,145.739,83.475,12.294,0.2327,32.945,64.6849,-15.5185,14.8722,11.136,517.83,81.975,21.7001,82.2825,9.56,0.1655,0.2184,85.23,85.1625,148.7137,517.43
488.87,537.52,4.111,86.8752,84.525,0.244,145.739,83.43,12.292,0.2327,32.945,64.678,-15.4965,14.8802,11.154,517.92,82.005,21.7,82.305,9.559,0.1654,0.2185,85.1925,85.1175,148.7137,517.43
488.87,537.64,4.119,86.8723,84.57,0.244,145.739,83.4075,12.292,0.2327,32.945,64.6711,-15.48,14.8799,11.178,518.01,82.0425,21.7,82.3125,9.558,0.1654,0.2186,85.215,85.0725,148.7137,517.43
488.84,537.72,4.125,86.8653,84.525,0.2439,145.739,83.4525,12.292,0.2327,32.95,64.7149,-15.4635,14.8797,11.208,518.13,81.9975,21.6999,82.3575,9.557,0.1654,0.2186,85.2375,85.0725,148.7137,517.4
488.84,537.84,4.13,86.8579,84.54,0.2439,145.739,83.43,12.294,0.2326,32.95,64.7086,-15.447,14.8794,11.25,518.25,82.005,21.6998,82.35,9.556,0.1654,0.2187,85.26,85.08,148.7137,517.4
488.84,537.96,4.136,86.8499,84.5175,0.2438,145.739,83.475,12.293,0.2326,32.95,64.7024,-15.425,14.8791,11.298,518.37,81.99,21.6997,82.305,9.555,0.1654,0.2188,85.2825,85.08,148.7137,517.4
488.84,538.12,4.144,86.8377,84.48,0.2438,145.739,83.445,12.293,0.2325,32.95,64.6961,-15.3975,14.8788,11.346,518.52,82.0275,21.6997,82.35,9.554,0.1653,0.2189,85.3125,85.11,148.7137,517.4
488.84,538.28,4.154,86.8211,84.54,0.2438,145.728,83.49,12.293,0.2325,32.955,64.7405,-15.3645,14.8786,11.406,518.7,82.035,21.6996,82.2975,9.552,0.1653,0.219,85.29,85.1325,148.7025,517.4
