PDRCA1109.PV,TV1155.OUT,FRCA1112.MV,TRCA1130.SV,TI_1150A.PV,FV1122.OUT,TV1118A.OUT,TI1116A.PV,TI_1143B.PV,FRC1107.MV,PDRCA1109.SV,FV1127.OUT,PV1101A.OUT,TI1105B.PV,DR1105.PV,PIC1101B.MV,TIA2872.PV,TIC_1101.MV,DR1107.PV,TIA2873.PV,FV1104.OUT,FV1112.OUT,PDIC_1133.MV,FRC1102.MV,TI_1143A.PV,AO_P1201A.OUT,TI1135.PV,FRC1113.MV,FV1102.OUT,FV1110.OUT,FV1107.OUT,LRCA1101.MV,PDRSA1104.PV,TI_1142.PV,FRCA1110.MV,PDR1103.PV,TIA2877.PV,FIC_1122.MV,TIC_1101.PV,TI_1147.PV,FRC1213.MV,TI1111.PV,TI1212.PV,FV1113.OUT,TIA2875.PV,TI1130.PV,PIK1101B.OUT,PIK1101A.OUT,FI1902.PV,TI_1151A.PV,TI_1143D.PV,FI1104.PV,TI_1145.PV,TI1133.PV,FIC_1127.MV,TI1116B.PV,TI_1149A.PV,TI_1146.PV,PIC1101B.PV,TI1112.PV,PI_1132A.PV,TI1113.PV,TI1105A.PV,TIA2876.PV,TI1132.PV,TRCA1130.PV,PIC1101A.PV,PDRCA1109.MV,PDR1106.PV,TI_1143C.PV,TI_1140.PV,LV1101.OUT,TI_1144.PV,TV1101.OUT,PRCA1101B.MV,FRC1104.MV,TIC_1155.MV,FRSA1101.PV,PDI_1109.PV,TRC1118A.MV,TIA2874.PV,PIC1101A.MV
14.778,21.5441,15.7335,211.76,521.1,72.959,19.7974,518.25,518.265,66.8441,14.778,19.8399,14.9275,541.8,4.5938,14.9275,84.5475,76.4854,287.415,85.185,11.1314,15.7335,21.5439,10.2308,518.265,75.4598,414.3,77.4983,10.2308,11.1283,66.8441,65.2923,-13.1645,518.27,11.1283,9.48,81.945,72.959,521.1,686.825,75.4598,487.665,533.64,77.4983,82.29,211.76,14.9275,14.9275,173.4075,521.1,518.265,990.45,489.65,414.3,19.8399,518.25,521.1,686.84,14.9275,490.635,0.2172,488.655,540.8,83.715,317.8,211.76,14.9275,76.4969,4.186,518.265,211.76,65.2923,518.27,76.4854,14.9275,11.1314,21.5441,173.404,14.778,19.7974,85.3875,14.9275
14.826,21.5446,15.7338,211.76,521.25,72.9587,19.8081,518.25,518.265,66.844,14.826,19.8391,14.9275,541.92,4.5922,14.9275,84.5925,76.4732,286.8975,85.14,11.1315,15.7338,21.5444,10.2302,518.265,75.4598,414.4,77.4981,10.2302,11.1283,66.844,65.2948,-13.126,518.27,11.1283,9.478,81.9825,72.9587,521.25,686.825,75.4598,487.665,533.64,77.4981,82.2825,211.76,14.9275,14.9275,173.4075,521.25,518.265,990.45,489.65,414.4,19.8391,518.25,521.25,686.8,14.9275,490.635,0.2174,488.655,540.96,83.6625,317.85,211.76,14.9275,76.4854,4.199,518.265,211.76,65.2948,518.27,76.4732,14.9275,11.1315,21.5446,173.418,14.826,19.8081,85.365,14.9275
14.874,21.545,15.734,211.76,521.43,72.9585,19.8187,518.25,518.265,66.8439,14.874,19.8384,14.9275,542.12,4.5172,14.9275,84.63,76.4567,287.145,85.1025,11.1315,15.734,21.5448,10.2301,518.265,75.4598,414.5,77.4978,10.2301,11.1284,66.8439,65.2973,-13.0985,518.27,11.1284,9.476,82.0275,72.9585,521.43,686.825,75.4598,487.665,533.64,77.4978,82.2675,211.76,14.9275,14.9275,173.394,521.43,518.265,990.45,489.65,414.5,19.8384,518.25,521.43,686.8,14.9275,490.635,0.2175,488.655,541.12,83.6925,317.9,211.76,14.9275,76.4732,4.213,518.265,211.76,65.2973,518.27,76.4567,14.9275,11.1315,21.545,173.404,14.874,19.8187,85.395,14.9275
14.922,21.5454,15.7343,211.76,521.58,72.9589,19.8294,518.3,518.3,66.8439,14.922,19.8391,14.9189,542.28,4.7484,14.9189,84.6075,76.4433,287.46,85.0575,11.1316,15.7343,21.5452,10.2293,518.3,75.4598,414.6,77.4968,10.2293,11.1285,66.8439,65.3504,-13.0655,518.3,11.1285,9.474,82.02,72.9589,521.58,686.825,75.4598,487.665,533.64,77.4968,82.305,211.76,14.9189,14.9189,173.4075,521.58,518.3,990.45,489.68,414.6,19.8391,518.3,521.58,686.8,14.9275,490.635,0.2177,488.655,541.28,83.685,318.0,211.76,14.9275,76.4567,4.227,518.3,211.76,65.3504,518.3,76.4433,14.9189,11.1316,21.5454,173.404,14.922,19.8294,85.425,14.9189
14.97,21.5458,15.7345,211.74,521.76,72.9587,19.8401,518.3,518.3,66.843,14.97,19.8389,14.9186,542.44,4.4547,14.9186,84.5625,76.4255,287.325,85.02,11.1316,15.7345,21.5456,10.2289,518.3,75.4598,414.7,77.4963,10.2289,11.1286,66.843,65.3535,-13.0325,518.3,11.1286,9.472,81.9825,72.9587,521.76,686.825,75.4598,487.71,533.64,77.4963,82.29,211.74,14.9186,14.9186,173.4075,521.76,518.3,990.45,489.68,414.7,19.8389,518.3,521.76,686.8,14.9189,490.635,0.2178,488.7,541.44,83.67,318.05,211.74,14.9189,76.4433,4.241,518.3,211.74,65.3535,518.3,76.4255,14.9186,11.1316,21.5458,173.404,14.97,19.8401,85.3875,14.9186
15.012,21.5462,15.7348,211.74,521.91,72.9586,19.8401,518.3,518.3,66.8427,15.012,19.8379,14.9184,542.6,4.4578,14.9184,84.5325,76.4107,287.3475,85.0125,11.1317,15.7348,21.546,10.2286,518.3,75.4598,414.8,77.4958,10.2286,11.1287,66.8427,65.4073,-12.9995,518.3,11.1287,9.47,81.975,72.9586,521.91,686.825,75.4598,487.71,533.64,77.4958,82.29,211.74,14.9184,14.9184,173.4075,521.91,518.3,990.45,489.68,414.8,19.8379,518.3,521.91,686.8,14.9186,490.68,0.218,488.7,541.64,83.64,318.15,211.74,14.9186,76.4255,4.255,518.3,211.74,65.4073,518.3,76.4107,14.9184,11.1317,21.5462,173.404,15.012,19.8401,85.41,14.9184
15.054,21.5466,15.735,211.74,522.09,72.9585,19.8501,518.3,518.3,66.8424,15.054,19.8374,14.9267,542.8,4.7812,14.9267,84.5025,76.3915,286.8525,85.0125,11.1317,15.735,21.5464,10.229,518.3,75.4598,414.85,77.4946,10.229,11.1287,66.8424,65.411,-12.9665,518.3,11.1287,9.468,81.96,72.9585,522.09,686.7875,75.4598,487.71,533.64,77.4946,82.335,211.74,14.9267,14.9267,173.4075,522.09,518.3,990.45,489.68,414.85,19.8374,518.3,522.09,686.8,14.9184,490.68,0.2181,488.7,541.8,83.5875,318.2,211.74,14.9184,76.4107,4.268,518.3,211.74,65.411,518.3,76.3915,14.9267,11.1317,21.5466,173.418,15.054,19.8501,85.3875,14.9267
15.084,21.5471,15.7353,211.74,522.24,72.9577,19.8601,518.3,518.335,66.842,15.084,19.8369,14.9267,542.96,4.1562,14.9267,84.4875,76.3754,286.65,84.9825,11.1318,15.7353,21.5469,10.2289,518.335,75.4598,414.95,77.4938,10.2289,11.1288,66.842,65.4654,-12.928,518.33,11.1288,9.466,82.0125,72.9577,522.24,686.7875,75.4598,487.71,533.64,77.4938,82.335,211.74,14.9267,14.9267,173.394,522.24,518.335,990.9,489.71,414.95,19.8369,518.3,522.24,686.8,14.9267,490.68,0.2182,488.7,541.96,83.5575,318.3,211.74,14.9267,76.3915,4.281,518.335,211.74,65.4654,518.33,76.3754,14.9267,11.1318,21.5471,173.39,15.084,19.8601,85.4175,14.9267
15.114,21.5475,15.7355,211.74,522.42,72.9575,19.8701,518.35,518.335,66.8417,15.114,19.8364,14.9267,543.12,3.9625,14.9267,84.54,76.3549,286.605,84.9975,11.1319,15.7355,21.5473,10.2288,518.335,75.4598,415.05,77.4931,10.2288,11.1289,66.8417,65.5204,-12.895,518.33,11.1289,9.464,82.035,72.9575,522.42,686.7875,75.4598,487.71,533.64,77.4931,82.32,211.74,14.9267,14.9267,173.394,522.42,518.335,990.9,489.71,415.05,19.8364,518.35,522.42,686.8,14.9267,490.68,0.2183,488.7,542.12,83.58,318.35,211.74,14.9267,76.3754,4.293,518.335,211.74,65.5204,518.33,76.3549,14.9267,11.1319,21.5475,173.404,15.114,19.8701,85.4325,14.9267
15.138,21.5479,15.7328,211.74,522.57,72.9572,19.8801,518.35,518.335,66.8414,15.138,19.8359,14.9267,543.28,4.2203,14.9267,84.585,76.3375,287.3025,84.9675,11.1319,15.7328,21.5477,10.2288,518.335,75.4598,415.15,77.4938,10.2288,11.129,66.8414,65.5254,-12.862,518.36,11.129,9.462,81.99,72.9572,522.57,686.7875,75.4598,487.755,533.64,77.4938,82.335,211.74,14.9267,14.9267,173.394,522.57,518.335,990.9,489.71,415.15,19.8359,518.35,522.57,686.8,14.9267,490.725,0.2185,488.745,542.32,83.5275,318.4,211.74,14.9267,76.3549,4.305,518.335,211.74,65.5254,518.36,76.3375,14.9267,11.1319,21.5479,173.404,15.138,19.8801,85.41,14.9267
15.15,21.5483,15.732,211.74,522.69,72.957,19.8901,518.35,518.37,66.841,15.15,19.8346,14.9267,543.44,4.7766,14.9267,84.555,76.3232,286.5375,84.9825,11.132,15.732,21.5481,10.2287,518.37,75.4598,415.25,77.4936,10.2287,11.129,66.841,65.581,-12.8455,518.36,11.129,9.461,81.975,72.957,522.69,686.7875,75.4598,487.755,533.64,77.4936,82.3125,211.74,14.9267,14.9267,173.394,522.69,518.37,990.9,489.74,415.25,19.8346,518.35,522.69,686.8,14.9267,490.725,0.2186,488.745,542.48,83.5575,318.5,211.74,14.9267,76.3375,4.316,518.37,211.74,65.581,518.36,76.3232,14.9267,11.132,21.5483,173.404,15.15,19.8901,85.4175,14.9267
15.156,21.5487,15.7313,211.74,522.84,72.9567,19.9001,518.35,518.37,66.8407,15.156,19.8339,14.9267,543.6,4.1672,14.9267,84.525,76.3046,286.4475,84.945,11.132,15.7313,21.5485,10.2286,518.37,75.4598,415.35,77.4933,10.2286,11.1291,66.8407,65.6373,-12.829,518.39,11.1291,9.459,81.9975,72.9567,522.84,686.7875,75.4598,487.755,533.64,77.4933,82.3125,211.74,14.9267,14.9267,173.394,522.84,518.37,990.9,489.74,415.35,19.8339,518.35,522.84,686.8,14.9267,490.725,0.2187,488.745,542.6,83.5425,318.55,211.74,14.9267,76.3232,4.326,518.37,211.74,65.6373,518.39,76.3046,14.9267,11.132,21.5487,173.404,15.156,19.9001,85.395,14.9267
15.156,21.5491,15.7335,211.74,522.93,72.9565,19.9101,518.4,518.405,66.8403,15.156,19.8331,14.9267,543.72,4.4641,14.9267,84.4875,76.293,286.8975,84.9075,11.1321,15.7335,21.5489,10.2285,518.405,75.4598,415.45,77.4931,10.2285,11.1292,66.8403,65.6941,-12.8125,518.39,11.1292,9.458,81.96,72.9565,522.93,686.7875,75.4598,487.8,533.64,77.4931,82.2825,211.74,14.9267,14.9267,173.394,522.93,518.405,990.9,489.77,415.45,19.8331,518.4,522.93,686.8,14.9267,490.725,0.2188,488.79,542.72,83.4975,318.6,211.74,14.9267,76.3046,4.335,518.405,211.74,65.6941,518.39,76.293,14.9267,11.1321,21.5491,173.404,15.156,19.9101,85.3875,14.9267
15.144,21.5496,15.7338,211.74,523.05,72.9562,19.9201,518.4,518.405,66.84,15.144,19.8346,14.9267,543.84,4.5266,14.9267,84.465,76.2772,286.965,84.9375,11.1321,15.7338,21.5493,10.2284,518.405,75.4598,415.5,77.4928,10.2284,11.1293,66.84,65.701,-12.807,518.42,11.1293,9.457,81.9675,72.9562,523.05,686.7875,75.4598,487.8,533.64,77.4928,82.29,211.74,14.9267,14.9267,173.3805,523.05,518.405,990.9,489.77,415.5,19.8346,518.4,523.05,686.8,14.9267,490.77,0.2189,488.79,542.84,83.5425,318.7,211.74,14.9267,76.293,4.342,518.405,211.74,65.701,518.42,76.2772,14.9267,11.1321,21.5496,173.376,15.144,19.9201,85.3425,14.9267
15.12,21.55,15.734,211.74,523.11,72.956,19.9301,518.4,518.44,66.8397,15.12,19.8346,14.9267,543.96,4.6266,14.9267,84.45,76.2685,286.785,84.9225,11.1322,15.734,21.5498,10.2284,518.44,75.4598,415.6,77.4926,10.2284,11.1294,66.8397,65.7585,-12.8015,518.42,11.1294,9.457,82.0125,72.956,523.11,686.7875,75.4598,487.8,533.64,77.4926,82.3275,211.74,14.9267,14.9267,173.3805,523.11,518.44,990.9,489.8,415.6,19.8346,518.4,523.11,686.8,14.9267,490.77,0.2189,488.79,542.96,83.5275,318.75,211.74,14.9267,76.2772,4.348,518.44,211.74,65.7585,518.42,76.2685,14.9267,11.1322,21.55,173.376,15.12,19.9301,85.3725,14.9267
15.09,21.5504,15.7343,211.74,523.17,72.9557,19.9401,518.45,518.44,66.8393,15.09,19.8346,14.9267,544.04,3.8687,14.9267,84.4575,76.2595,287.1,84.99,11.1322,15.7343,21.5502,10.2283,518.44,75.4598,415.7,77.4923,10.2283,11.1294,66.8393,65.8166,-12.8015,518.45,11.1294,9.456,82.0275,72.9557,523.17,686.7875,75.4598,487.845,533.64,77.4923,82.32,211.74,14.9267,14.9267,173.3805,523.17,518.44,990.9,489.8,415.7,19.8346,518.45,523.17,686.76,14.9267,490.77,0.2189,488.835,543.04,83.5275,318.8,211.74,14.9267,76.2685,4.351,518.44,211.74,65.8166,518.45,76.2595,14.9267,11.1322,21.5504,173.376,15.09,19.9401,85.3425,14.9267
15.048,21.5508,15.7345,211.74,523.2,72.9555,19.9501,518.45,518.475,66.839,15.048,19.8354,14.9267,544.08,4.3094,14.9267,84.4275,76.2541,286.605,84.9825,11.1323,15.7345,21.5506,10.2282,518.475,75.4598,415.75,77.4921,10.2282,11.1295,66.839,65.8247,-12.807,518.45,11.1295,9.456,82.035,72.9555,523.2,686.7875,75.4598,487.845,533.64,77.4921,82.35,211.74,14.9267,14.9267,173.367,523.2,518.475,990.45,489.83,415.75,19.8354,518.45,523.2,686.76,14.9267,490.815,0.2189,488.835,543.08,83.5575,318.85,211.74,14.9267,76.2595,4.353,518.475,211.74,65.8247,518.45,76.2541,14.9267,11.1323,21.5508,173.376,15.048,19.9501,85.29,14.9267
15.0,21.5512,15.7348,211.74,523.23,72.9552,19.9601,518.45,518.475,66.8394,15.0,19.8356,14.9267,544.12,4.1312,14.9267,84.39,76.2485,286.8525,84.96,11.1324,15.7348,21.551,10.2281,518.475,75.4598,415.85,77.4918,10.2281,11.1296,66.8394,65.8835,-12.8235,518.48,11.1296,9.457,82.0575,72.9552,523.23,686.7875,75.4598,487.845,533.64,77.4918,82.3725,211.74,14.9267,14.9267,173.367,523.23,518.475,990.45,489.83,415.85,19.8356,518.45,523.23,686.76,14.9267,490.815,0.2189,488.835,543.12,83.52,318.95,211.74,14.9267,76.2541,4.352,518.475,211.74,65.8835,518.48,76.2485,14.9267,11.1324,21.5512,173.376,15.0,19.9601,85.305,14.9267
14.94,21.5516,15.735,211.74,523.2,72.955,19.9701,518.5,518.51,66.8393,14.94,19.8366,14.9267,544.12,4.0344,14.9267,84.435,76.2503,286.875,84.93,11.1324,15.735,21.5514,10.228,518.51,75.4598,415.95,77.4916,10.228,11.1297,66.8393,65.9429,-12.84,518.51,11.1297,9.457,82.0425,72.955,523.2,686.7875,75.4598,487.89,533.64,77.4916,82.3575,211.74,14.9267,14.9267,173.367,523.2,518.51,990.45,489.86,415.95,19.8366,518.5,523.2,686.76,14.9267,490.815,0.2189,488.88,543.16,83.565,319.0,211.74,14.9267,76.2485,4.349,518.51,211.74,65.9429,518.51,76.2503,14.9267,11.1324,21.5516,173.362,14.94,19.9701,85.35,14.9267
14.868,21.552,15.7353,211.74,523.17,72.9547,19.9801,518.5,518.51,66.8393,14.868,19.8356,14.9267,544.12,3.8687,14.9267,84.4125,76.2523,287.28,84.915,11.1325,15.7353,21.5518,10.2279,518.51,75.4598,416.05,77.4921,10.2279,11.1298,66.8393,65.9523,-12.8675,518.51,11.1298,9.459,82.0275,72.9547,523.17,686.7875,75.4598,487.89,533.64,77.4921,82.335,211.74,14.9267,14.9267,173.3535,523.17,518.51,990.45,489.86,416.05,19.8356,518.5,523.17,686.76,14.9267,490.86,0.2188,488.88,543.12,83.5575,319.05,211.74,14.9267,76.2503,4.343,518.51,211.74,65.9523,518.51,76.2523,14.9267,11.1325,21.552,173.362,14.868,19.9801,85.365,14.9267
14.784,21.5525,15.7355,211.74,523.08,72.9551,19.9901,518.5,518.51,66.8392,14.784,19.8356,14.9267,544.08,3.9562,14.9267,84.3825,76.2618,286.965,84.975,11.1325,15.7355,21.5523,10.2286,518.51,75.4598,416.1,77.4921,10.2286,11.1298,66.8392,66.0122,-12.895,518.54,11.1298,9.46,81.975,72.9551,523.08,686.75,75.4598,487.89,533.64,77.4921,82.3725,211.74,14.9267,14.9267,173.3535,523.08,518.51,990.45,489.89,416.1,19.8356,518.5,523.08,686.76,14.9267,490.86,0.2187,488.88,543.08,83.55,319.15,211.74,14.9267,76.2523,4.334,518.51,211.74,66.0122,518.54,76.2618,14.9267,11.1325,21.5525,173.348,14.784,19.9901,85.395,14.9267
14.694,21.5529,15.7328,211.74,522.99,72.9562,20.0001,518.55,518.545,66.8391,14.694,19.8364,14.9353,544.0,4.4562,14.9353,84.39,76.2718,287.2575,85.005,11.1326,15.7328,21.5527,10.2288,518.545,75.4598,416.2,77.4928,10.2288,11.1299,66.8391,66.0222,-12.939,518.54,11.1299,9.462,81.99,72.9562,522.99,686.75,75.4598,487.935,533.64,77.4928,82.38,211.74,14.9353,14.9353,173.34,522.99,518.545,990.45,489.89,416.2,19.8364,518.55,522.99,686.76,14.9267,490.905,0.2185,488.925,543.0,83.5575,319.2,211.74,14.9267,76.2618,4.322,518.545,211.74,66.0222,518.54,76.2718,14.9353,11.1326,21.5529,173.348,14.694,20.0001,85.4025,14.9353
14.598,21.5533,15.732,211.74,522.84,72.9563,20.0101,518.55,518.545,66.839,14.598,19.8366,14.9356,543.88,4.2016,14.9356,84.375,76.2896,286.965,85.0125,11.1326,15.732,21.5531,10.2289,518.545,75.4598,416.3,77.4931,10.2289,11.13,66.839,66.0322,-12.983,518.57,11.13,9.464,82.005,72.9563,522.84,686.75,75.4598,487.935,533.64,77.4931,82.3875,211.74,14.9356,14.9356,173.34,522.84,518.545,990.45,489.92,416.3,19.8366,518.55,522.84,686.76,14.9353,490.905,0.2183,488.925,542.88,83.5275,319.3,211.74,14.9353,76.2718,4.307,518.545,211.74,66.0322,518.57,76.2896,14.9356,11.1326,21.5533,173.334,14.598,20.0101,85.4175,14.9356
