TI_1142.PV,TI_1149A.PV,TI_1152A.PV,PDR1103.PV,TI1105A.PV,TI_1140.PV,TRA1401A.PV,PI_1134.PV,TIA1114.PV,PI_1138A.PV,TI1115A.PV,PDRCA1109.PV,FRC1102.PV,PRA1102.PV,FRSA1101.PV,TIC_1101.PV,FIC_1121.PV,PDRA1102.OUT,TI_1146.PV,PR1102A.PV,PDR1106.PV,TIC_1155.PV,PDR1401.PV
517.399963,520.409973,590.037476,9.405,540.23999,212.479996,661.299988,0.12044,661.299988,0.117675,669.649963,55.368,999.599976,0.113145,169.694,520.409973,345.209991,71.399994,685.599976,0.18855,4.013,590.037476,12.297
517.399963,520.440002,590.037476,9.405,540.23999,212.479996,661.299988,0.12044,661.299988,0.117675,669.649963,55.373997,999.599976,0.113145,169.679993,520.440002,345.209991,71.399994,685.639954,0.18855,4.014,590.037476,12.297
517.399963,520.440002,590.037476,9.403999,540.23999,212.479996,661.299988,0.12042,661.299988,0.117675,669.649963,55.385998,999.599976,0.113145,169.679993,520.440002,345.209991,71.369995,685.639954,0.18852,4.016,590.037476,12.297
517.399963,520.440002,590.037476,9.403999,540.23999,212.479996,661.299988,0.12042,661.299988,0.117675,669.649963,55.391998,999.599976,0.113145,169.651993,520.440002,345.209991,71.369995,685.639954,0.18852,4.018,590.037476,12.294
517.399963,520.440002,590.037476,9.403999,540.23999,212.479996,661.299988,0.12042,661.299988,0.11765,669.649963,55.403999,999.599976,0.11313,169.623993,520.440002,345.209991,71.369995,685.639954,0.18852,4.018,590.037476,12.294
517.399963,520.440002,590.037476,9.403999,540.23999,212.479996,661.299988,0.1204,661.299988,0.11765,669.649963,55.427998,999.599976,0.11313,169.610001,520.440002,345.209991,71.340004,685.639954,0.18849,4.018,590.037476,12.294
517.429993,520.469971,590.037476,9.403,540.279968,212.479996,661.349976,0.1204,661.349976,0.11765,669.649963,55.458,999.599976,0.113115,169.567993,520.469971,345.209991,71.340004,685.639954,0.18846,4.018,590.037476,12.294
517.429993,520.469971,590.037476,9.403,540.279968,212.479996,661.349976,0.12038,661.349976,0.117625,669.649963,55.505997,1000.199951,0.1131,169.554001,520.469971,345.209991,71.279999,685.639954,0.1884,4.018,590.037476,12.295
517.429993,520.5,590.037476,9.401999,540.279968,212.479996,661.349976,0.12036,661.349976,0.1176,669.649963,55.548,1000.199951,0.11307,169.511993,520.5,345.23999,71.279999,685.639954,0.18837,4.017,590.037476,12.295
517.429993,520.529968,590.037476,9.4,540.320007,212.479996,661.349976,0.12034,661.349976,0.117575,669.649963,55.59,1000.199951,0.113055,169.483994,520.529968,345.23999,71.25,685.639954,0.18831,4.018,590.037476,12.294
517.429993,520.559998,590.037476,9.399,540.359985,212.459991,661.349976,0.12032,661.349976,0.11755,669.649963,55.625999,1000.199951,0.113025,169.442001,520.559998,345.23999,71.220001,685.639954,0.18828,4.021,590.037476,12.292999
517.429993,520.589966,590.037476,9.398,540.399963,212.459991,661.349976,0.1203,661.349976,0.117525,669.649963,55.667999,1000.199951,0.11301,169.386002,520.589966,345.23999,71.220001,685.639954,0.18825,4.025,590.037476,12.292999
517.429993,520.649963,590.037476,9.396999,540.399963,212.459991,661.349976,0.12026,661.349976,0.1175,669.649963,55.733997,1000.199951,0.11298,169.343994,520.649963,345.23999,71.160004,685.639954,0.18816,4.029,590.037476,12.292999
517.429993,520.679993,590.037476,9.395,540.440002,212.459991,661.349976,0.12024,661.349976,0.117475,669.649963,55.793999,1000.199951,0.11295,169.287994,520.679993,345.23999,71.130005,685.639954,0.1881,4.031,590.037476,12.292
517.429993,520.73999,590.037476,9.393,540.519958,212.459991,661.349976,0.1202,661.349976,0.11745,669.649963,55.854,1000.199951,0.11292,169.218002,520.73999,345.269989,71.100006,685.639954,0.18804,4.032,590.037476,12.292
517.429993,520.799988,590.037476,9.391,540.559998,212.459991,661.349976,0.12016,661.349976,0.1174,669.700012,55.931999,1000.199951,0.112875,169.162003,520.799988,345.269989,71.069992,685.639954,0.18798,4.034,590.037476,12.292
517.429993,520.859985,590.037476,9.389,540.599976,212.459991,661.349976,0.12014,661.349976,0.117375,669.700012,56.003998,1000.199951,0.112845,169.078003,520.859985,345.269989,71.01001,685.639954,0.18789,4.036,590.037476,12.290999
517.429993,520.919983,590.037476,9.386,540.679993,212.459991,661.349976,0.12008,661.349976,0.117325,669.700012,56.105999,1000.199951,0.112785,169.022003,520.919983,345.269989,70.980003,685.639954,0.1878,4.04,590.037476,12.290999
517.459961,521.01001,590.037476,9.382999,540.76001,212.459991,661.349976,0.12004,661.349976,0.117275,669.700012,56.202,1000.199951,0.11274,168.923996,521.01001,345.299988,70.889999,685.639954,0.18768,4.043,590.037476,12.290999
517.459961,521.070007,590.037476,9.38,540.839966,212.459991,661.349976,0.11998,661.349976,0.117225,669.700012,56.309998,1000.799988,0.11268,168.839996,521.070007,345.299988,70.860001,685.639954,0.18759,4.047,590.037476,12.290999
517.459961,521.159973,590.037476,9.377,540.919983,212.459991,661.349976,0.11992,661.349976,0.11715,669.700012,56.417999,1000.799988,0.11262,168.741989,521.159973,345.299988,70.799995,685.639954,0.18747,4.051,590.037476,12.290999
517.459961,521.279968,590.037476,9.373,541,212.459991,661.349976,0.11986,661.349976,0.1171,669.700012,56.537998,1000.799988,0.112545,168.65799,521.279968,345.329987,70.740005,685.639954,0.18735,4.056,590.037476,12.290999
