PRCA1101B.PV,PI_1136.PV,TI1116A.PV,TI_1142.PV,TI_1149A.PV,FIC_1127.PV,TDRCA1117A.OUT,TI_1152A.PV,PDR1103.PV,TI1105A.PV,TI_1140.PV,TRA1401A.PV,PI_1134.PV,TIA1114.PV,TI1111.PV,PI_1138A.PV,PDI_1138.OUT,TI1115A.PV,TI1135.PV,TRCA1130.PV,PDRCA1109.PV,FRC1102.PV,PI_1180.PV,PRA1102.PV,FRSA1101.PV,PR1401.PV,TI_1150A.PV,TI_1151A.PV,PI_1132A.PV,TIC_1101.PV,PDI_1132.OUT,FIC_1121.PV,PDRA1102.OUT,WR1104.PV,TI_1146.PV,PR1102A.PV,PIK1101A.OUT,PDR1106.PV,TIC_1155.PV,TI1117A.PV,PDR1401.PV
0.14997,0.2439,517.450012,517.429993,520.859985,600.179993,3.349976,590.037476,9.389,540.599976,212.459991,661.349976,0.12014,661.349976,486.899994,0.117375,4.534997,669.700012,339.699982,212.459991,56.003998,1000.199951,0.19856,0.112845,169.078003,0.14997,520.859985,520.859985,0.164925,520.859985,48.044994,345.269989,71.01001,145.705994,685.639954,0.18789,52.243038,4.036,590.037476,676.200012,12.290999
0.14997,0.2439,517.450012,517.429993,520.919983,600.23999,3.349976,590.037476,9.386,540.679993,212.459991,661.349976,0.12008,661.349976,486.899994,0.117325,4.545003,669.700012,339.699982,212.459991,56.105999,1000.199951,0.19848,0.112785,169.022003,0.14997,520.919983,520.919983,0.1649,520.919983,48.059994,345.269989,70.980003,145.705994,685.639954,0.1878,52.24276,4.04,590.037476,676.200012,12.290999
0.14997,0.2439,517.450012,517.459961,521.01001,600.119995,3.299988,590.037476,9.382999,540.76001,212.459991,661.349976,0.12004,661.349976,486.899994,0.117275,4.535005,669.700012,339.649994,212.459991,56.202,1000.199951,0.19832,0.11274,168.923996,0.14997,521.01001,521.01001,0.1649,521.01001,48.119991,345.299988,70.889999,145.705994,685.639954,0.18768,52.242481,4.043,590.037476,676.25,12.290999
0.14997,0.2439,517.450012,517.459961,521.070007,600.179993,3.299988,590.037476,9.38,540.839966,212.459991,661.349976,0.11998,661.349976,486.899994,0.117225,4.545003,669.700012,339.649994,212.459991,56.309998,1000.799988,0.19824,0.11268,168.839996,0.14997,521.070007,521.070007,0.1649,521.070007,48.159996,345.299988,70.860001,145.705994,685.639954,0.18759,52.242203,4.047,590.037476,676.25,12.290999
0.14997,0.2439,517.450012,517.459961,521.159973,600.179993,3.299988,590.037476,9.377,540.919983,212.459991,661.349976,0.11992,661.349976,486.899994,0.11715,4.529998,669.700012,339.600006,212.459991,56.417999,1000.799988,0.19808,0.11262,168.741989,0.14997,521.159973,521.159973,0.1649,521.159973,48.219994,345.299988,70.799995,145.705994,685.639954,0.18747,52.241924,4.051,590.037476,676.25,12.290999
0.14997,0.2439,517.450012,517.459961,521.279968,600.23999,3.299988,590.037476,9.373,541,212.459991,661.349976,0.11986,661.349976,486.899994,0.1171,4.560001,669.700012,339.600006,212.459991,56.537998,1000.799988,0.19792,0.112545,168.65799,0.14997,521.279968,521.279968,0.1649,521.279968,48.279995,345.329987,70.740005,145.705994,685.639954,0.18735,52.241646,4.056,590.037476,676.25,12.290999
0.14997,0.2439,517.450012,517.459961,521.369995,600.299988,3.299988,590.037476,9.368999,541.119995,212.459991,661.349976,0.11978,661.349976,486.899994,0.117025,4.544996,669.700012,339.549988,212.459991,56.657997,1000.799988,0.19784,0.112485,168.559998,0.14997,521.369995,521.369995,0.1649,521.369995,48.359989,345.329987,70.680008,145.705994,685.639954,0.18723,52.241367,4.061,590.037476,676.25,12.29
0.14997,0.2439,517.450012,517.459961,521.48999,600.359985,3.299988,590.037476,9.365,541.23999,212.459991,661.349976,0.11972,661.349976,486.944977,0.11695,4.550003,669.700012,339.5,212.459991,56.784,1000.799988,0.19768,0.11241,168.475998,0.14997,521.48999,521.48999,0.1649,521.48999,48.419991,345.359985,70.650002,145.705994,685.639954,0.18711,52.241089,4.066,590.037476,676.25,12.29
0.14997,0.24388,517.450012,517.48999,521.609985,600.23999,3.299988,590.037476,9.36,541.359985,212.459991,661.349976,0.11964,661.349976,486.944977,0.116875,4.535005,669.700012,339.449982,212.459991,56.91,1000.799988,0.19752,0.112335,168.363998,0.14997,521.609985,521.609985,0.1649,521.609985,48.479988,345.359985,70.55999,145.705994,685.639954,0.18696,52.24081,4.072,590.037476,676.25,12.29
0.14997,0.24388,517.5,517.48999,521.72998,600.299988,3.299988,590.037476,9.355,541.47998,212.459991,661.349976,0.11958,661.349976,486.944977,0.1168,4.539996,669.700012,339.449982,212.459991,57.035999,1000.799988,0.19744,0.11226,168.265991,0.14997,521.72998,521.72998,0.1649,521.72998,48.559994,345.389984,70.499992,145.705994,685.639954,0.18684,52.240532,4.078,590.037476,676.25,12.29
0.14997,0.24388,517.5,517.48999,521.849976,600.359985,3.299988,590.037476,9.351,541.599976,212.459991,661.349976,0.1195,661.349976,486.944977,0.116725,4.544996,669.700012,339.399994,212.459991,57.167999,1001.399963,0.1972,0.112185,168,0.14997,521.849976,521.849976,0.1649,521.849976,48.639992,345.389984,70.470001,145.705994,685.639954,0.18672,52.240253,4.084,590.037476,676.25,12.29
0.14997,0.24388,517.5,517.48999,522.029968,600.419983,3.299988,590.037476,9.344999,541.719971,212.459991,661.349976,0.11938,661.349976,486.944977,0.116625,4.565001,669.700012,339.350006,212.459991,57.438,1001.399963,0.19696,0.112065,167.873993,0.14997,522.029968,522.029968,0.164775,522.029968,48.634998,345.419983,70.290009,145.694992,685.639954,0.18642,52.239975,4.089,590.037476,676.25,12.289
0.14997,0.24388,517.5,517.519958,522.179993,600.359985,3.299988,590.037476,9.337999,541.880005,212.459991,661.349976,0.11926,661.349976,486.944977,0.116475,4.554995,669.700012,339.299988,212.459991,57.689999,1000.799988,0.19664,0.11193,167.776001,0.14997,522.179993,522.179993,0.16465,522.179993,48.629993,345.449982,70.169991,145.694992,685.679993,0.18618,52.239697,4.09,590.037476,676.25,12.289
0.14997,0.24388,517.5,517.519958,522.359985,600.47998,3.299988,590.037476,9.330999,542.079956,212.459991,661.349976,0.11914,661.349976,486.98999,0.11635,4.549995,669.700012,339.299988,212.459991,57.917999,1001.399963,0.19648,0.111795,167.804001,0.14997,522.359985,522.359985,0.16465,522.359985,48.749992,345.47998,70.049995,145.694992,685.679993,0.18594,52.239418,4.091,590.037476,676.25,12.289
0.14997,0.24388,517.549988,517.549988,522.539978,600.359985,3.299988,590.037476,9.323,542.23999,212.459991,661.349976,0.11902,661.349976,486.98999,0.116225,4.565001,669.700012,339.25,212.459991,58.127998,1001.399963,0.19624,0.11166,167.692001,0.14997,522.539978,522.539978,0.164725,522.539978,48.944996,345.47998,69.959991,145.694992,685.679993,0.18573,52.23914,4.1,590.037476,676.25,12.289
0.14997,0.24388,517.549988,517.549988,522.719971,600.47998,3.299988,590.037476,9.315,542.440002,212.459991,661.349976,0.1189,661.349976,486.98999,0.1161,4.560001,669.700012,339.199982,212.459991,58.326,1001.399963,0.196,0.11154,167.565994,0.14997,522.719971,522.719971,0.164825,522.719971,49.144989,345.509979,69.870003,145.694992,685.679993,0.18555,52.238861,4.115,590.037476,676.25,12.287
0.14997,0.24386,517.549988,517.549988,522.899963,600.539978,3.299988,590.037476,9.307,542.599976,212.459991,661.349976,0.11878,661.349976,486.98999,0.116,4.579998,669.700012,339.199982,212.459991,58.505997,1002,0.19584,0.11142,167.412003,0.14997,522.899963,522.899963,0.164875,522.899963,49.315006,345.539978,69.809998,145.694992,685.679993,0.18537,52.238583,4.133,590.037476,676.25,12.287
0.14997,0.24386,517.549988,517.580017,523.080017,600.419983,3.299988,590.037476,9.299,542.799988,212.459991,661.349976,0.11866,661.349976,487.034973,0.115875,4.574999,669.700012,339.149994,212.459991,58.674,1002,0.1956,0.111315,167.285995,0.14997,523.080017,523.080017,0.1649,523.080017,49.439987,345.569977,69.720009,145.694992,685.679993,0.18519,52.238304,4.148,590.037476,676.25,12.287
0.14997,0.24386,517.599976,517.580017,523.26001,600.47998,3.299988,590.037476,9.290999,543,212.459991,661.349976,0.11856,661.349976,487.034973,0.115775,4.574999,669.700012,339.100006,212.459991,58.823997,1002,0.19544,0.11121,167.187988,0.14997,523.26001,523.26001,0.1649,523.26001,49.539989,345.569977,69.689995,145.68399,685.679993,0.18504,52.238026,4.158,590.037476,676.25,12.287
0.14997,0.24386,517.599976,517.609985,523.440002,600.359985,3.299988,590.037476,9.283999,543.200012,212.459991,661.349976,0.11848,661.349976,487.034973,0.115675,4.574999,669.700012,339.100006,212.459991,58.961998,1002,0.19528,0.111105,167.145996,0.14997,523.440002,523.440002,0.16485,523.440002,49.569996,345.600006,69.629997,145.68399,685.679993,0.18489,52.237747,4.165,590.037476,676.25,12.287
0.14997,0.24386,517.599976,517.609985,523.589966,600.419983,3.299988,590.037476,9.276999,543.359985,212.459991,661.349976,0.1184,661.349976,487.034973,0.1156,4.579998,669.700012,339.049988,212.459991,59.076,1001.399963,0.1952,0.111015,167.075989,0.14997,523.589966,523.589966,0.164825,523.589966,49.624996,345.600006,69.570007,145.68399,685.679993,0.18477,52.237469,4.17,590.037476,676.25,12.287
0.14997,0.24386,517.649963,517.640015,523.73999,600.47998,3.299988,590.037476,9.27,543.519958,212.459991,661.349976,0.11832,661.349976,487.079987,0.115525,4.584998,669.700012,339.049988,212.459991,59.166,1002,0.19512,0.11094,167.047989,0.14997,523.73999,523.73999,0.1648,523.73999,49.68,345.630005,69.57,145.68399,685.679993,0.18468,52.23719,4.174,590.037476,676.25,12.285999
0.14997,0.24386,517.649963,517.669983,523.890015,600.47998,3.299988,590.037476,9.264999,543.679993,212.459991,661.349976,0.11826,661.349976,487.079987,0.115475,4.594996,669.700012,339,212.459991,59.231998,1002,0.19504,0.11088,167.033997,0.14997,523.890015,523.890015,0.164775,523.890015,49.714996,345.630005,69.570007,145.672989,685.679993,0.18462,52.236912,4.177,590.037476,676.25,12.285999
