LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TI_1145.PV
72.589,33.025,9.572,4.201,12.303,45.162,25.55,14.9055,0.1779,0.21,0.1988,540.44,84.495,85.005,85.38,82.2375,83.5425,82.0575,42.8025,520.47,20.3444,489.05
72.5415,33.02,9.581,4.137,12.303,45.012,25.396,14.9055,0.1772,0.2102,0.199,540.28,84.51,84.9675,85.395,82.2225,83.55,82.0275,42.8232,520.29,20.3443,489.05
72.544,33.02,9.588,4.074,12.303,44.898,25.286,14.9055,0.1768,0.2103,0.1991,540.08,84.495,84.975,85.3575,82.2075,83.5875,82.0575,42.8483,520.08,20.3443,489.05
72.4959,33.015,9.595,4.035,12.303,44.766,25.198,14.9055,0.1767,0.2104,0.1992,539.88,84.5475,84.9675,85.38,82.2525,83.595,82.08,42.8705,519.9,20.3442,489.05
72.4471,33.01,9.601,4.022,12.303,44.664,25.121,14.9055,0.1768,0.2105,0.1993,539.72,84.5775,85.005,85.4175,82.2225,83.6025,82.1175,42.8897,519.75,20.3441,489.05
72.4484,33.01,9.607,4.023,12.304,45.03,25.0495,14.9055,0.1766,0.2102,0.199,539.56,84.6,85.005,85.38,82.2075,83.5725,82.1175,42.902,519.66,20.344,489.05
72.399,33.005,9.605,4.01,12.304,45.306,25.1265,14.9055,0.1763,0.2099,0.1987,539.44,84.5775,84.96,85.3425,82.215,83.5125,82.11,42.9147,519.57,20.344,489.05
72.349,33,9.602,4.001,12.304,45.45,25.2475,14.9055,0.1765,0.2098,0.1986,539.36,84.5475,84.945,85.32,82.2225,83.4675,82.1025,42.9239,519.51,20.3439,489.05
72.349,33,9.6,4.022,12.304,45.444,25.3465,14.9055,0.177,0.2098,0.1986,539.28,84.555,84.9225,85.275,82.1775,83.4675,82.05,42.9334,519.45,20.3438,489.05
72.349,33,9.599,4.067,12.305,45.354,25.3905,14.9055,0.1776,0.2099,0.1987,539.24,84.585,84.945,85.26,82.2075,83.4525,82.0275,42.9394,519.42,20.3437,489.05
72.2984,32.995,9.6,4.109,12.305,45.228,25.374,14.9055,0.178,0.2099,0.1988,539.2,84.63,84.93,85.23,82.23,83.445,82.0575,42.9417,519.42,20.3437,489.05
72.2977,32.995,9.603,4.132,12.305,45.522,25.3135,14.9055,0.1777,0.2097,0.1985,539.2,84.5775,84.96,85.2,82.26,83.445,82.05,42.9403,519.45,20.3436,489.05
72.2971,32.995,9.6,4.116,12.305,45.702,25.363,14.9141,0.1773,0.2095,0.1983,539.2,84.5625,84.96,85.1625,82.23,83.475,82.0425,42.9388,519.48,20.3435,489.02
72.2965,32.995,9.597,4.093,12.305,45.762,25.4455,14.9144,0.1773,0.2095,0.1983,539.24,84.5925,84.96,85.1475,82.26,83.52,82.0125,42.9409,519.48,20.3434,489.02
72.2452,32.99,9.595,4.094,12.305,45.672,25.5005,14.9147,0.1776,0.2096,0.1984,539.24,84.5925,85.0125,85.125,82.2975,83.52,82.035,42.943,519.48,20.3434,489.02
