FI1127,FRCA1110,LRCA1101,PDRSA1104,PI1132,TI1105,TI1145,FRC1424,TI1142,DR1106
600,11.1193,32.885,26.276,0.1277,540.12,490.37,4.6,519.02,57.6
600,11.1189,32.885,26.2705,0.1277,540.08,490.37,4.6,519.02,57.6
600,11.1222,32.88,26.2705,0.1277,540.04,490.37,4.6,519.02,57.6
600,11.1231,32.88,26.265,0.1278,540.04,490.37,4.6,519.02,57.5625
600,11.1239,32.88,26.254,0.1278,540,490.34,4.6,518.99,57.6
599.94,11.121,32.88,26.243,0.1278,539.96,490.34,4.5975,518.99,57.5625
599.94,11.1206,32.88,26.221,0.1278,539.92,490.34,4.5975,518.99,57.525
599.94,11.1201,32.88,26.199,0.1278,539.88,490.34,4.5975,518.96,57.6
599.94,11.1197,32.88,26.1825,0.1278,539.84,490.31,4.5975,518.96,57.6
599.94,11.1193,32.88,26.1715,0.1278,539.8,490.31,4.5975,518.96,57.5625
599.94,11.1189,32.88,26.1715,0.1278,539.76,490.31,4.5975,518.96,57.6
599.94,11.1222,32.88,26.166,0.1278,539.76,490.31,4.5975,518.93,57.5625
599.94,11.123,32.88,26.155,0.1279,539.72,490.28,4.595,518.93,57.5625
599.94,11.1239,32.88,26.144,0.1279,539.68,490.28,4.595,518.93,57.525
599.88,11.1209,32.88,26.1275,0.1279,539.64,490.28,4.595,518.93,57.6375
599.88,11.1205,32.875,26.122,0.1279,539.64,490.28,4.595,518.9,57.6
599.88,11.1201,32.875,26.1055,0.1279,539.6,490.25,4.595,518.9,57.5625
599.88,11.1197,32.875,26.1,0.1279,539.56,490.25,4.595,518.9,57.6
600,11.1192,32.875,26.078,0.1279,539.52,490.25,4.595,518.87,57.5625
600,11.1188,32.875,26.0615,0.1279,539.48,490.22,4.5925,518.87,57.5625
600,11.1222,32.875,26.056,0.128,539.48,490.22,4.5925,518.87,57.5625
600,11.123,32.875,26.0505,0.128,539.44,490.22,4.5925,518.84,57.5625
600,11.1238,32.875,26.0395,0.128,539.4,490.22,4.5925,518.84,57.6
600,11.1216,32.875,26.0285,0.128,539.4,490.19,4.5925,518.84,57.525
600,11.1215,32.875,26.023,0.128,539.36,490.19,4.5925,518.81,57.525
600,11.1213,32.875,26.0175,0.128,539.32,490.19,4.5925,518.81,57.5625
600,11.1211,32.875,26.0065,0.128,539.32,490.16,4.5925,518.81,57.6
600,11.121,32.875,25.9955,0.128,539.28,490.16,4.5925,518.78,57.5625
600,11.1208,32.875,25.9845,0.128,539.28,490.16,4.59,518.78,57.6
600,11.1206,32.875,25.9735,0.128,539.24,490.13,4.59,518.78,57.6
599.94,11.1204,32.875,25.9625,0.128,539.2,490.13,4.59,518.75,57.525
599.94,11.1203,32.875,25.957,0.1281,539.2,490.13,4.59,518.75,57.6
599.94,11.1201,32.875,25.9515,0.1281,539.16,490.1,4.59,518.75,57.525
599.94,11.1199,32.88,25.946,0.1281,539.16,490.1,4.59,518.72,57.6
599.94,11.1198,32.88,25.9405,0.1281,539.12,490.1,4.59,518.72,57.6
599.94,11.1196,32.88,25.935,0.1281,539.12,490.07,4.59,518.72,57.5625
599.94,11.1232,32.88,25.9295,0.1281,539.12,490.07,4.59,518.69,57.5625
599.94,11.1242,32.88,25.924,0.1281,539.08,490.07,4.59,518.69,57.6
599.94,11.1253,32.88,25.9185,0.1281,539.08,490.04,4.59,518.69,57.5625
599.94,11.1227,32.88,25.9075,0.1281,539.08,490.04,4.59,518.66,57.6
599.94,11.1225,32.88,25.902,0.1281,539.04,490.04,4.5875,518.66,57.6
599.94,11.1186,32.88,25.8965,0.1281,539.04,490.01,4.5875,518.63,57.5625
599.94,11.1209,32.88,25.8855,0.1282,539,490.01,4.5875,518.63,57.6375
599.88,11.1207,32.88,25.88,0.1282,539,490.01,4.5875,518.63,57.525
599.88,11.1243,32.88,25.869,0.1282,538.96,489.98,4.5875,518.6,57.6
599.88,11.1216,32.88,25.847,0.1282,538.96,489.98,4.5875,518.6,57.5625
599.88,11.1215,32.88,25.8305,0.1282,538.92,489.98,4.5875,518.6,57.5625
600.06,11.1213,32.885,25.8195,0.1282,538.92,489.95,4.5875,518.57,57.525
600,11.1211,32.885,25.8085,0.1282,538.88,489.95,4.585,518.57,57.6375
600,11.1209,32.885,25.8085,0.1282,538.88,489.95,4.585,518.57,57.5625
599.88,11.1208,32.885,25.803,0.1282,538.88,489.92,4.585,518.54,57.5625
600,11.1206,32.885,25.7975,0.1282,538.84,489.92,4.585,518.54,57.525
600,11.1204,32.885,25.792,0.1282,538.84,489.92,4.585,518.51,57.5625
600,11.1203,32.885,25.781,0.1282,538.8,489.89,4.585,518.51,57.6
600,11.1201,32.885,25.7755,0.1283,538.8,489.89,4.585,518.51,57.6375
600,11.1199,32.885,25.77,0.1283,538.8,489.89,4.585,518.48,57.6
600,11.1197,32.885,25.7645,0.1283,538.76,489.86,4.585,518.48,57.6
600,11.1196,32.89,25.759,0.1283,538.76,489.86,4.585,518.48,57.6
600,11.1231,32.89,25.7535,0.1283,538.76,489.86,4.585,518.45,57.525
600,11.1242,32.89,25.7425,0.1283,538.76,489.83,4.585,518.45,57.6
600,11.1253,32.89,25.737,0.1283,538.72,489.83,4.5825,518.45,57.6
600,11.1226,32.89,25.726,0.1283,538.72,489.83,4.5825,518.42,57.5625
600,11.1225,32.89,25.726,0.1283,538.72,489.8,4.5825,518.42,57.5625
600,11.1193,32.89,25.7205,0.1283,538.68,489.8,4.5825,518.39,57.6
599.94,11.1219,32.895,25.715,0.1283,538.68,489.77,4.5825,518.39,57.5625
599.94,11.1219,32.895,25.7095,0.1283,538.68,489.77,4.5825,518.39,57.6
599.94,11.125,32.895,25.7095,0.1283,538.68,489.77,4.5825,518.36,57.5625
599.94,11.1231,32.895,25.7095,0.1283,538.68,489.74,4.5825,518.36,57.525
599.94,11.1232,32.895,25.704,0.1283,538.68,489.74,4.5825,518.36,57.5625
599.94,11.1195,32.895,25.704,0.1284,538.64,489.74,4.5825,518.33,57.6
599.94,11.1221,32.9,25.6985,0.1284,538.64,489.71,4.5825,518.33,57.5625
599.94,11.1252,32.9,25.693,0.1284,538.64,489.71,4.5825,518.33,57.6
599.94,11.1262,32.9,25.693,0.1284,538.64,489.71,4.5825,518.3,57.525
599.94,11.1243,32.9,25.6875,0.1284,538.64,489.68,4.5825,518.3,57.5625
599.94,11.1207,32.9,25.682,0.1284,538.64,489.68,4.5825,518.27,57.5625
599.94,11.1195,32.9,25.682,0.1284,538.64,489.68,4.5825,518.27,57.5625
599.94,11.1221,32.905,25.682,0.1284,538.64,489.65,4.5825,518.27,57.5625
599.94,11.1221,32.905,25.6765,0.1284,538.64,489.65,4.5825,518.24,57.6
599.94,11.1222,32.905,25.6765,0.1284,538.64,489.65,4.5825,518.24,57.6
599.94,11.1223,32.905,25.6765,0.1284,538.64,489.65,4.5825,518.24,57.6
