TIA1160A.PV,AR1410B.PV,DR1107.PV,FRCA1112.PV,FI1112.PV,WRA1103.PV,WR1104.PV,PI_1180.PV,CCSFIC1401.PV,TIC_1155.PV
182.0,86.1,241.4925,3000.5,3000.5,125.0887,122.584,1.4132,189728,617.9225
182.0,86.1,241.4925,3000.5,3000.5,125.0887,122.584,1.4132,189728,617.9225
182.0,86.4,240.435,2999.5,2999.5,124.2675,121.781,1.4134,189728,618.475
182.0,86.225,240.03,2999.5,2999.5,123.8625,121.385,1.4134,189728,618.7675
182.0,86.85,238.8375,3000.5,3000.5,123.4462,120.978,1.4134,189728,619.06
182.0,86.85,238.8375,3000.5,3000.5,123.4462,120.978,1.4134,189728,619.06
182.0,86.85,237.5325,3000.5,3000.5,122.625,120.175,1.4136,189728,619.6125
182.0,86.275,236.655,2999.5,2999.5,122.22,119.768,1.4136,189728,619.8725
182.0,86.275,236.655,2999.5,2999.5,122.22,119.768,1.4136,189728,619.8725
182.0,86.325,234.8775,3000.5,3000.5,121.3988,118.965,1.4138,189739,620.425
182.0,86.475,233.82,3000.5,3000.5,120.9825,118.569,1.4138,189739,620.685
182.0,86.475,233.82,3000.5,3000.5,120.9825,118.569,1.4138,189739,620.685
182.0,86.05,233.6175,2999.75,2999.75,120.5775,118.162,1.4138,189750,620.9775
182.0,86.45,232.5825,2999.75,2999.75,120.1612,117.766,1.4139,189750,621.2375
182.0,86.475,231.255,2999.75,2999.75,119.7562,117.359,1.4139,189761,621.4975
182.0,86.55,229.7025,2999.75,2999.75,118.935,116.556,1.4141,189761,622.0175
182.0,86.55,229.7025,2999.75,2999.75,118.935,116.556,1.4141,189761,622.0175
182.0,86.5,229.3425,2999.75,2999.75,118.5187,116.149,1.4141,189772,622.2775
182.0,86.675,228.1275,3000.75,3000.75,117.7087,115.346,1.4142,189783,622.7975
182.0,86.65,227.385,3000.75,3000.75,117.2925,114.95,1.4142,189794,623.0575
182.0,86.025,226.1925,3000.75,3000.75,116.8875,114.543,1.4143,189805,623.3175
182.0,86.025,226.1925,3000.75,3000.75,116.8875,114.543,1.4143,189805,623.3175
182.0,86.075,225.3825,2999.75,2999.75,116.4712,114.147,1.4144,189816,623.5775
182.0,86.475,224.1,3000.0,3000.0,115.6612,113.344,1.4145,189838,624.065
182.0,86.675,223.065,3000.0,3000.0,115.245,112.937,1.4145,189849,624.325
182.0,86.575,222.3225,3000.0,3000.0,114.84,112.541,1.4146,189860,624.5525
182.0,86.575,222.3225,3000.0,3000.0,114.84,112.541,1.4146,189860,624.5525
182.0,86.375,220.4325,3000.0,3000.0,114.0187,111.738,1.4146,189882,625.04
182.0,86.375,220.4325,3000.0,3000.0,114.0187,111.738,1.4146,189882,625.04
182.0,86.375,219.465,3000.0,3000.0,113.6137,111.342,1.4147,189904,625.3
182.0,86.65,218.0925,3000.25,3000.25,112.7925,110.539,1.4148,189926,625.7875
182.0,86.525,217.44,3000.25,3000.25,112.3875,110.132,1.4149,189948,626.015
182.0,86.45,217.305,3000.25,3000.25,111.9712,109.736,1.4149,189959,626.2425
182.0,86.45,217.305,3000.25,3000.25,111.9712,109.736,1.4149,189959,626.2425
182.0,86.425,215.6625,3000.5,3000.5,111.5662,109.329,1.415,189992,626.47
181.935,86.325,215.145,3000.5,3000.5,111.1612,108.933,1.415,190014,626.73
181.935,86.05,214.0875,3000.5,3000.5,110.745,108.537,1.415,190036,626.9575
181.935,86.175,213.5025,2999.75,2999.75,110.34,108.13,1.415,190058,627.185
181.935,86.7,211.77,3000.0,3000.0,109.5187,107.327,1.4151,190113,627.64
181.935,86.7,211.77,3000.0,3000.0,109.5187,107.327,1.4151,190113,627.64
181.935,86.275,211.3425,3000.0,3000.0,109.1137,106.931,1.4152,190146,627.8675
181.935,86.25,210.285,3001.0,3001.0,108.7087,106.535,1.4152,190179,628.095
181.935,86.675,209.0475,3001.25,3001.25,107.8875,105.732,1.4154,190245,628.9725
181.935,86.55,207.8775,3000.5,3000.5,107.46,105.314,1.4154,190267,629.59
181.935,86.275,206.955,3000.5,3000.5,107.0325,104.885,1.4154,190300,630.1425
181.87,86.0,206.3025,3001.0,3001.0,106.605,104.467,1.4154,190366,630.6625
181.87,86.0,206.3025,3001.0,3001.0,106.605,104.467,1.4154,190366,630.6625
181.87,86.475,205.5375,3001.0,3001.0,106.0425,103.928,1.4155,190421,631.15
181.87,86.475,204.4125,3001.25,3001.25,105.4912,103.378,1.4155,190465,631.605
181.87,86.625,201.9375,3000.5,3000.5,104.3887,102.3,1.4156,190553,632.385
181.87,86.425,200.925,3000.5,3000.5,103.8375,101.761,1.4156,190597,632.7425
181.805,86.275,199.755,3000.5,3000.5,103.2862,101.222,1.4157,190641,633.1
181.805,86.325,199.1925,3000.5,3000.5,102.7462,100.683,1.4157,190685,633.4575
181.805,86.25,198.27,3000.5,3000.5,102.195,100.155,1.4158,190718,633.7825
181.805,86.675,196.83,3000.75,3000.75,101.6437,99.616,1.4158,190762,634.14
181.805,86.1,196.2,2999.75,2999.75,101.1037,99.077,1.4158,190795,634.4975
181.74,86.25,194.895,2999.75,2999.75,100.5525,98.538,1.4158,190839,634.855
181.74,86.25,194.895,2999.75,2999.75,100.5525,98.538,1.4158,190839,634.855
181.74,86.675,192.645,3001.0,3001.0,99.4613,97.471,1.4159,190839,635.6025
181.74,86.675,192.645,3001.0,3001.0,99.4613,97.471,1.4159,190916,635.6025
181.675,86.825,190.7325,3000.0,3000.0,98.3587,96.393,1.416,190982,636.3175
181.675,86.55,189.3825,3000.0,3000.0,97.8187,95.854,1.4161,191026,636.675
181.675,86.275,188.7975,3000.25,3000.25,97.2675,95.326,1.4161,191059,637.0325
181.61,86.575,187.425,3000.25,3000.25,96.7162,94.787,1.4161,191092,637.39
181.61,86.55,186.9075,3000.25,3000.25,96.1762,94.248,1.4162,191125,637.715
181.61,86.125,186.0075,3000.25,3000.25,95.625,93.709,1.4162,191169,638.0725
181.545,86.875,184.005,3000.25,3000.25,95.0737,93.181,1.4162,191202,638.3975
181.545,86.1,183.105,3000.5,3000.5,94.5337,92.642,1.4162,191235,638.7225
181.545,86.025,182.07,3000.5,3000.5,93.9825,92.103,1.4163,191268,639.0475
181.545,86.025,182.07,3000.5,3000.5,93.9825,92.103,1.4163,191268,639.0475
181.48,86.725,179.7975,3000.5,3000.5,92.8913,91.036,1.4163,191345,639.6975
181.48,86.725,179.595,3000.5,3000.5,92.3512,90.497,1.4164,191378,639.99
181.48,86.725,178.695,2999.75,2999.75,91.8,89.969,1.4164,191411,640.315
181.415,86.35,176.6925,2999.75,2999.75,91.26,89.43,1.4165,191444,640.6075
181.415,86.3,176.4,2999.75,2999.75,90.7087,88.891,1.4165,191477,640.9
181.415,86.75,175.23,3000.75,3000.75,90.1687,88.363,1.4166,191521,641.225
181.35,86.425,173.565,3000.75,3000.75,89.6175,87.824,1.4166,191554,641.5175
181.35,86.125,172.8675,3000.0,3000.0,89.0775,87.296,1.4166,191587,641.81
181.35,86.325,171.675,3000.0,3000.0,88.5262,86.757,1.4166,191620,642.1025
181.285,86.975,171.0675,3000.0,3000.0,87.9862,86.229,1.4166,191664,642.3625
181.285,86.525,169.92,3000.25,3000.25,87.4463,85.69,1.4167,191697,642.655
